Year,State,County,Count,officer_10k,crime_10k,pop_diversity,black_pop_perc,urbanization_index,firearm_fatalities_100k,population,pop_density,male_perc,age_20_45_perc,Official_action_taken
2015,AK,Anchorage,1,NA,NA,NA,NA,95.88,296,297547,174.55,51.08,38.54,0
2015,AK,Fairbanks North Star,2,NA,NA,NA,NA,69.13,110.5,99636,13.58,54.1,42,0
2015,AK,Kenai Peninsula,1,NA,NA,NA,NA,20.66,71,58034,3.61,52.38,30.12,0
2015,AL,Baldwin,1,NA,82.11,29.79,9.5,57.72,148.5,202939,127.65,48.73,29.18,0
2015,AL,Chilton,1,NA,338.76,33.2,10.3,13.26,34.5,43700,63.07,49.28,31.44,0
2015,AL,Colbert,1,NA,NA,35.12,16.4,56.11,45.5,54417,91.82,47.97,29.73,0
2015,AL,Conecuh,1,NA,NA,52.58,46,19.05,12.5,12678,14.91,48.09,27.08,0
2015,AL,Covington,1,NA,NA,28.78,12.7,30.35,25.25,37556,36.45,48.24,28.34,0
2015,AL,Elmore,1,NA,NA,40.83,21.1,45.81,81.75,80872,130.76,48.47,34.23,0
2015,AL,Jefferson,2,29.1,94.35,55.49,42.8,90.17,803.5,660455,594.32,47.32,33.69,0
2015,AL,Lawrence,1,NA,NA,39.6,11.4,8.71,32.25,33135,47.97,48.71,29.63,0
2015,AL,Lee,1,16.9,218.51,47.56,23.5,72.59,123.5,156954,258.34,49.39,40.94,0
2015,AL,Madison,1,21.2,141.16,50.49,24.5,83.56,280.75,352977,440.35,48.87,32.91,0
2015,AL,Marshall,1,NA,NA,30.01,2.3,46.73,77.5,94585,167.16,49.23,30.58,0
2015,AL,Talladega,1,NA,197.91,48.79,32.3,44.18,93.5,81128,110.11,48.39,31.51,0
2015,AL,Tallapoosa,1,NA,NA,44.97,27.1,25.77,41.5,40605,56.67,48.61,27.84,0
2015,AL,Tuscaloosa,1,28.4,NA,49.86,30.7,74.49,143.5,204767,154.92,48.26,39.22,0
2015,AL,Washington,1,NA,NA,50.6,24.5,NA,18.25,16832,15.58,48.81,28.61,0
2015,AL,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,AR,Craighead,1,NA,NA,35.85,14,67.83,83,104457,147.7,48.68,35.93,0
2015,AR,Lonoke,2,NA,156.26,23.4,6.1,55.19,57,71359,92.59,49.52,33.95,50
2015,AR,Mississippi,1,NA,NA,52.28,34.5,NA,60,43729,48.56,48.64,31.65,0
2015,AR,Union,1,NA,NA,51.27,32.6,45.5,40.75,40086,38.57,48.82,29.55,0
2015,AZ,Apache,3,NA,NA,41.86,0.7,NA,62,71012,6.34,49.51,30.39,0
2015,AZ,Cochise,2,NA,NA,55.85,4.7,NA,125.25,126454,20.51,50.82,29.79,0
2015,AZ,Greenlee,1,NA,NA,54.87,1.5,NA,332.5,9577,5.2,51.62,33.27,0
2015,AZ,La Paz,1,NA,431.03,54.27,1,NA,36,20466,4.55,51.49,20.85,0
2015,AZ,Maracopa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,AZ,Maricopa,21,14.32,30.83,57.19,5.7,NA,2795.25,4172905,453.57,49.46,34.44,0
2015,AZ,Mojave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,AZ,Pima,5,17.6,186.6,57.7,4,NA,766.75,1009103,109.84,49.23,32.89,0
2015,AZ,Pinal,2,14.3,93.28,56.91,4.8,NA,265.5,405614,75.6,52.31,32.32,0
2015,AZ,Yavapai,4,NA,123.64,31.84,0.8,NA,265,220805,27.18,48.92,22.68,0
2015,AZ,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,CA,Alameda,10,11.19,33.89,74.04,12.4,99.61,684,1634538,2211.76,49.04,37.69,0
2015,CA,Butte,2,9.8,135.54,42.36,1.8,81.1,142.5,224631,137.27,49.44,34.42,50
