Year,Age,Gender,Race,official_action,Victim_Criminal_Charges_Simplified,Shootings_manner_of_death,armed_simplified,Shootings_signs_of_mental_illness,Shootings_threat_level,Shootings_flee,Shootings_body_camera,Geography,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_per_10k,n,Crime_Index_10k,police_frac_total_expend,officers_per_10k_pop,density_p_mi2_2020,density_p_mi2_2017
2015,53,M,A,Unreported,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Rural,7163657,68.6,3.5,12.7,8.5,1,167.27,16,1513.63,0.030118812,NA,117.3272,111.43829
2015,47,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Suburban,4015792,75.6,1.8,13.1,4.3,0.9,186.07,15,NA,0.029858703,13.7,44.8086,43.15931158
2015,47,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Suburban,4015792,75.6,1.8,13.1,4.3,0.9,186.07,15,NA,0.029858703,13.2,44.8086,43.15931158
2015,47,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Suburban,4015792,75.6,1.8,13.1,4.3,0.9,186.07,15,NA,0.029858703,12.6,44.8086,43.15931158
2015,23,M,H,Unreported,No Charges,shot and Tasered,FALSE,FALSE,other,Not fleeing,FALSE,Urban,2909011,75.9,5.5,11.9,2.9,0.6,187.04,9,1208.52,0.03218342,15.3,35.5968,35.63060947
2015,32,M,W,Pending,No Charges,shot,FALSE,TRUE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,1386.11,0.040001548,25.9,256.3727,253.7996328
2015,39,M,H,Justified,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Suburban,5450623,68.2,3.9,21.5,3.1,0.6,206.75,29,429.97,0.03947737,14.4,56.4011,54.1011752
2015,18,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Rural,3909500,65.6,7.2,10.6,2.1,7.3,212.59,32,650.23,0.03432659,NA,57.6547,57.30540127
2015,22,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Suburban,6829676,54.7,4.1,31.4,3.2,3.9,299.89,42,456.24,0.050938689,20.2,64.955,61.76620244
2015,22,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Suburban,6829676,54.7,4.1,31.4,3.2,3.9,299.89,42,456.24,0.050938689,17.8,64.955,61.76620244
2015,22,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Suburban,6829676,54.7,4.1,31.4,3.2,3.9,299.89,42,456.24,0.050938689,17.4,64.955,61.76620244
2015,22,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Suburban,6829676,54.7,4.1,31.4,3.2,3.9,299.89,42,456.24,0.050938689,17.1,64.955,61.76620244
2015,22,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Suburban,6829676,54.7,4.1,31.4,3.2,3.9,299.89,42,456.24,0.050938689,16.8,64.955,61.76620244
2015,22,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Suburban,6829676,54.7,4.1,31.4,3.2,3.9,299.89,42,456.24,0.050938689,14.1,64.955,61.76620244
