State,County,Year,AgeGroup_20_45_percentage
AK,Aleutians,2015,42.7809072
AK,Aleutians,2016,43.82991377
AK,Aleutians,2017,43.73371925
AK,Aleutians,2018,43.65243004
AK,Aleutians,2019,42.94276296
AK,Aleutians,2015,43.26241135
AK,Aleutians,2016,43.3479404
AK,Aleutians,2017,43.04416128
AK,Aleutians,2018,43.04964539
AK,Aleutians,2019,42.66950657
AK,Anchorage,2015,38.53878547
AK,Anchorage,2016,38.41055815
AK,Anchorage,2017,38.19962084
AK,Anchorage,2018,38.06678347
AK,Anchorage,2019,38.15347222
AK,Bethel,2015,33.10498468
AK,Bethel,2016,33.16502053
AK,Bethel,2017,32.99060254
AK,Bethel,2018,33.24002415
AK,Bethel,2019,33.56358099
AK,Bristol Bay,2015,32.63274336
AK,Bristol Bay,2016,33.2594235
AK,Bristol Bay,2017,32.33601841
AK,Bristol Bay,2018,32.84090909
AK,Bristol Bay,2019,33.13397129
AK,Denali,2015,35.59234351
AK,Denali,2016,36.44768856
AK,Denali,2017,35.55662188
AK,Denali,2018,35.72834646
AK,Denali,2019,36.67143538
AK,Dillingham,2015,32.2574178
AK,Dillingham,2016,32.67605634
AK,Dillingham,2017,32.91497976
AK,Dillingham,2018,33.29993989
AK,Dillingham,2019,33.52318959
AK,Fairbanks North Star,2015,41.9968686
AK,Fairbanks North Star,2016,42.17801318
AK,Fairbanks North Star,2017,42.03762227
AK,Fairbanks North Star,2018,41.80692944
AK,Fairbanks North Star,2019,41.70925874
AK,Haines,2015,24.7217806
AK,Haines,2016,25.00987752
AK,Haines,2017,25.91125198
AK,Haines,2018,26.20578778
AK,Haines,2019,26.40316206
AK,Hoonah-Angoon,2015,23.87429644
AK,Hoonah-Angoon,2016,23.05516266
AK,Hoonah-Angoon,2017,23.51566152
AK,Hoonah-Angoon,2018,23.99071926
AK,Hoonah-Angoon,2019,23.78957169
AK,Juneau City and,2015,35.15253718
AK,Juneau City and,2016,35.11662347
AK,Juneau City and,2017,34.93364073
AK,Juneau City and,2018,34.95333521
AK,Juneau City and,2019,35.04409833
AK,Kenai Peninsula,2015,30.11510494
AK,Kenai Peninsula,2016,30.00957953
AK,Kenai Peninsula,2017,29.86611565
AK,Kenai Peninsula,2018,29.92093714
AK,Kenai Peninsula,2019,29.88860121
AK,Ketchikan Gateway,2015,32.01722376
AK,Ketchikan Gateway,2016,31.728314
AK,Ketchikan Gateway,2017,32.06592453
AK,Ketchikan Gateway,2018,32.51299076
AK,Ketchikan Gateway,2019,32.57319617
AK,Kodiak Island,2015,36.40589816
AK,Kodiak Island,2016,36.5967366
AK,Kodiak Island,2017,36.75991711
AK,Kodiak Island,2018,37.26037736
AK,Kodiak Island,2019,37.62117249
AK,Kusilvak,2015,32.04783988
AK,Kusilvak,2016,31.89096687
AK,Kusilvak,2017,32.26080622
AK,Kusilvak,2018,32.63246426
AK,Kusilvak,2019,32.12653356
AK,Lake and Peninsula,2015,34.35736677
AK,Lake and Peninsula,2016,34.5625
AK,Lake and Peninsula,2017,34.30521092
AK,Lake and Peninsula,2018,33.64661654
AK,Lake and Peninsula,2019,32.28643216
AK,Matanuska-Susitna,2015,33.64964081
AK,Matanuska-Susitna,2016,33.70950547
AK,Matanuska-Susitna,2017,33.55486106
AK,Matanuska-Susitna,2018,33.50417775
AK,Matanuska-Susitna,2019,33.45919846
AK,Nome,2015,33.55908218
AK,Nome,2016,33.52398154
AK,Nome,2017,33.91521197
AK,Nome,2018,34.2186412
AK,Nome,2019,34.16633347
AK,North Slope,2015,35.10420924
AK,North Slope,2016,35.0938725
AK,North Slope,2017,35.02807555
AK,North Slope,2018,34.84263959
AK,North Slope,2019,34.25549227
AK,Northwest Arctic,2015,34.251158
AK,Northwest Arctic,2016,33.59771161
AK,Northwest Arctic,2017,33.62411802
AK,Northwest Arctic,2018,33.58461139
AK,Northwest Arctic,2019,33.80133841
AK,Petersburg,2015,28.95788503
AK,Petersburg,2016,28.25153374
AK,Petersburg,2017,28.40073529
AK,Petersburg,2018,28.69913687
AK,Petersburg,2019,29.36313533
AK,Prince of Wales-Hyder,2015,28.16533497
AK,Prince of Wales-Hyder,2016,28.4859641
AK,Prince of Wales-Hyder,2017,28.55369336
AK,Prince of Wales-Hyder,2018,28.16037736
AK,Prince of Wales-Hyder,2019,28.17991295
AK,Sitka City and,2015,34.21052632
AK,Sitka City and,2016,34.15750916
AK,Sitka City and,2017,34.23214906
AK,Sitka City and,2018,34.05424363
AK,Sitka City and,2019,34.44012716
AK,Skagway,2015,42.00367647
AK,Skagway,2016,41.25441696
AK,Skagway,2017,40.27420737
AK,Skagway,2018,41.23182207
AK,Skagway,2019,41.16652578
AK,Southeast Fairbanks,2015,30.97475044
AK,Southeast Fairbanks,2016,31.41315444
AK,Southeast Fairbanks,2017,31.05049333
AK,Southeast Fairbanks,2018,31.20945654
AK,Southeast Fairbanks,2019,31.00246627
AK,Valdez-Cordova,2015,30.4431806
AK,Valdez-Cordova,2016,30.71719991
AK,Valdez-Cordova,2017,30.56399132
AK,Valdez-Cordova,2018,30.72808645
AK,Valdez-Cordova,2019,31.36274723
AK,Wrangell City and,2015,24.052181
AK,Wrangell City and,2016,23.99839744
AK,Wrangell City and,2017,23.80007933
AK,Wrangell City and,2018,23.56185973
AK,Wrangell City and,2019,24.10071942
AK,Yakutat City and,2015,30.23622047
AK,Yakutat City and,2016,30.06535948
AK,Yakutat City and,2017,30.3986711
AK,Yakutat City and,2018,31.04026846
AK,Yakutat City and,2019,31.0880829
AK,Yukon-Koyukuk,2015,29.82616651
AK,Yukon-Koyukuk,2016,30.11248387
AK,Yukon-Koyukuk,2017,30.33832501
AK,Yukon-Koyukuk,2018,30.56540399
AK,Yukon-Koyukuk,2019,30.47801147
AL,Autauga ,2015,32.27070575
AL,Autauga ,2016,32.12714733
AL,Autauga ,2017,31.89745441
AL,Autauga ,2018,31.70727315
AL,Autauga ,2019,31.81549697
AL,Baldwin ,2015,29.17822597
AL,Baldwin ,2016,28.8293409
AL,Baldwin ,2017,28.53788567
AL,Baldwin ,2018,28.32113103
AL,Baldwin ,2019,28.19015025
AL,Barbour ,2015,33.264848
AL,Barbour ,2016,32.69394714
AL,Barbour ,2017,32.01892118
AL,Barbour ,2018,31.71437761
AL,Barbour ,2019,31.99789354
AL,Bibb ,2015,34.81786759
AL,Bibb ,2016,34.4328345
AL,Bibb ,2017,34.23503326
AL,Bibb ,2018,33.96521661
AL,Bibb ,2019,33.98678217
AL,Blount ,2015,30.14115357
AL,Blount ,2016,29.82919957
AL,Blount ,2017,29.79908976
AL,Blount ,2018,29.66367208
AL,Blount ,2019,29.63027012
AL,Bullock ,2015,34.43269231
AL,Bullock ,2016,34.4017711
AL,Bullock ,2017,33.94261006
AL,Bullock ,2018,34.29329664
AL,Bullock ,2019,34.35303435
AL,Butler ,2015,29.59527825
AL,Butler ,2016,29.49230462
AL,Butler ,2017,29.34432824
AL,Butler ,2018,29.24965616
AL,Butler ,2019,29.2266557
AL,Calhoun ,2015,31.98520815
AL,Calhoun ,2016,31.67004427
AL,Calhoun ,2017,31.53168861
AL,Calhoun ,2018,31.53213039
AL,Calhoun ,2019,31.50741605
AL,Chambers ,2015,29.80056477
AL,Chambers ,2016,29.82664098
AL,Chambers ,2017,29.78906459
AL,Chambers ,2018,29.66369048
AL,Chambers ,2019,29.34083118
AL,Cherokee ,2015,26.725478
AL,Cherokee ,2016,26.408724
AL,Cherokee ,2017,26.11896919
AL,Cherokee ,2018,26.18974398
AL,Cherokee ,2019,25.97724843
AL,Chilton ,2015,31.4416476
AL,Chilton ,2016,31.04454475
AL,Chilton ,2017,30.83635539
AL,Chilton ,2018,30.7021715
AL,Chilton ,2019,30.53479788
AL,Choctaw ,2015,26.83848538
AL,Choctaw ,2016,26.56956688
AL,Choctaw ,2017,26.26692456
AL,Choctaw ,2018,26.33834645
AL,Choctaw ,2019,26.26102153
AL,Clarke ,2015,29.18454936
AL,Clarke ,2016,28.79622021
AL,Clarke ,2017,28.6290155
AL,Clarke ,2018,28.61443264
AL,Clarke ,2019,28.6808907
AL,Clay ,2015,28.49049571
AL,Clay ,2016,28.31329799
AL,Clay ,2017,28.082397
AL,Clay ,2018,27.97502633
AL,Clay ,2019,28.03173404
AL,Cleburne ,2015,29.15381521
AL,Cleburne ,2016,28.61664871
AL,Cleburne ,2017,28.35089603
AL,Cleburne ,2018,28.2278481
AL,Cleburne ,2019,27.95439302
AL,Coffee ,2015,31.97417734
AL,Coffee ,2016,31.49486348
AL,Coffee ,2017,31.42151852
AL,Coffee ,2018,31.25120308
AL,Coffee ,2019,31.19674449
AL,Colbert ,2015,29.7278424
AL,Colbert ,2016,29.5887847
AL,Colbert ,2017,29.81076881
AL,Colbert ,2018,29.92691441
AL,Colbert ,2019,30.12436415
AL,Conecuh ,2015,27.07840353
AL,Conecuh ,2016,27.112
AL,Conecuh ,2017,27.23835572
AL,Conecuh ,2018,27.02570778
AL,Conecuh ,2019,26.6926328
AL,Coosa ,2015,26.92518749
AL,Coosa ,2016,26.56437748
AL,Coosa ,2017,26.52928012
AL,Coosa ,2018,25.86676689
AL,Coosa ,2019,25.43374285
AL,Covington ,2015,28.33635105
