State,County,Population_Diversity_Index,Black_pop_perc
WV,Tucker,4.9218,0.4
MS,Lawrence,47.1709,31.2
SD,Bon Homme,21.9285,1.1
UT,Beaver,24.8834,0.4
IN,Henry,11.3398,2.6
TX,Matagorda,61.2762,11.4
WI,Fond du Lac,16.7201,1.5
KS,Shawnee,41.4644,8.8
OK,Garfield,37.9919,3.3
OR,Polk,34.7223,0.8
RI,Bristol,12.2757,1
MO,Montgomery,9.8688,1.5
KS,Republic,6.4557,0.6
OK,Creek,38.379,2.4
WY,Platte,19.7897,0.9
VA,Loudoun,58.7233,7.7
MI,Missaukee,9.8517,0.4
TX,Hartley,49.5291,7.5
GA,Bleckley,45.1218,26.8
WI,Dodge,17.074,3
IN,Boone,14.287,1.4
MT,Roosevelt,52.0283,0.2
TX,Mason,38.2424,1
ID,Bonneville,28.0032,0.7
MO,DeKalb,26.7365,11.4
WV,Boone,4.1444,0.7
NC,Carteret,24.5625,6.3
TN,Loudon,20.4957,1.5
OK,Atoka,45.183,3.9
AK,Yukon-Koyukuk Census Area,44.7209,0.4
GA,Fannin,8.7389,0.7
UT,Box Elder,22.5697,0.5
TX,Howard,56.8861,7
NC,Cherokee,15.9084,1.5
SD,Shannon,13.3525,0.2
NC,Cumberland,63.6081,37.4
WI,Marinette,7.9872,0.4
WY,Crook,11.8947,1.2
KS,Cherokee,20.5962,0.7
NY,Montgomery,28.4601,2.6
NC,Avery,19.6666,4.2
IN,Miami,18.6787,4.6
VA,Nottoway,53.813,39.4
MS,Sunflower,40.6226,72.8
AL,Autauga,38.8898,18.4
OK,Kingfisher,36.6411,1.5
AL,Blount,22.1056,1.8
NE,Hitchcock,8.1522,0.2
NC,Haywood,12.7889,1.2
NE,Furnas,9.6368,0.3
VA,Isle of Wight,44.1937,24.2
AR,Baxter,9.1101,0.3
CT,Middlesex,26.7092,5.3
TX,Potter,62.912,10.8
TX,Morris,50.68,22.8
KS,Anderson,10.437,0.6
WV,Gilmer,34.9206,12.8
GA,Catoosa,15.907,2.6
FL,Putnam,44.5197,16.5
IA,Woodbury,39.1637,2.7
OH,Noble,8.7098,2.8
SC,Union,46.879,31.5
NV,White Pine,42.711,4.5
KS,Brown,28.6786,1.5
IN,Warren,5.6927,0.3
MN,Pope,5.6918,0.4
TX,Menard,48.2363,1.4
OR,Douglas,20.5552,0.4
TX,Wharton,61.3554,14.4
MA,Nantucket,36.5845,7.9
WY,Converse,20.517,1.2
IL,Kankakee,43.6835,15.4
ND,Rolette,37.2384,0.3
OK,Carter,47.0863,7.1
UT,Cache,26.9504,0.8
MI,Presque Isle,7.4202,0.6
MO,Maries,7.036,0.4
FL,Hamilton,57.5657,33.9
NE,Pierce,5.8792,0.3
TX,Austin,51.843,9.6
NE,Adams,21.9552,1
IN,Randolph,10.3878,0.6
