State,County,Year,AgeGroup_Zero,Population,Total_male,Total_female,male_percentage
AL,Autauga ,2015,0,54864,26728,28136,48.71682706
AL,Autauga ,2016,0,55243,26970,28273,48.82066506
AL,Autauga ,2017,0,55390,27010,28380,48.76331468
AL,Autauga ,2018,0,55533,27006,28527,48.630544
AL,Autauga ,2019,0,55869,27092,28777,48.49200809
AL,Baldwin ,2015,0,202939,98892,104047,48.72991392
AL,Baldwin ,2016,0,207601,100969,106632,48.63608557
AL,Baldwin ,2017,0,212521,103218,109303,48.56837677
AL,Baldwin ,2018,0,217855,105702,112153,48.51942806
AL,Baldwin ,2019,0,223234,108247,114987,48.49037333
AL,Barbour ,2015,0,26283,13971,12312,53.15603242
AL,Barbour ,2016,0,25806,13626,12180,52.80167403
AL,Barbour ,2017,0,25157,13230,11927,52.58973646
AL,Barbour ,2018,0,24872,13148,11724,52.8626568
AL,Barbour ,2019,0,24686,13064,11622,52.92068379
AL,Bibb ,2015,0,22566,12109,10457,53.66037401
AL,Bibb ,2016,0,22586,12070,10516,53.44018418
AL,Bibb ,2017,0,22550,12056,10494,53.46341463
AL,Bibb ,2018,0,22367,11900,10467,53.20337998
AL,Bibb ,2019,0,22394,11929,10465,53.2687327
AL,Blount ,2015,0,57526,28348,29178,49.27858707
AL,Blount ,2016,0,57494,28287,29207,49.19991651
AL,Blount ,2017,0,57787,28449,29338,49.23079585
AL,Blount ,2018,0,57771,28435,29336,49.22019698
AL,Blount ,2019,0,57826,28472,29354,49.23736727
AL,Bullock ,2015,0,10400,5642,4758,54.25
AL,Bullock ,2016,0,10389,5653,4736,54.41332178
AL,Bullock ,2017,0,10176,5514,4662,54.18632075
AL,Bullock ,2018,0,10174,5535,4639,54.40338117
AL,Bullock ,2019,0,10101,5508,4593,54.52925453
AL,Butler ,2015,0,20162,9396,10766,46.60251959
AL,Butler ,2016,0,20012,9310,10702,46.52208675
AL,Butler ,2017,0,19888,9289,10599,46.70655672
AL,Butler ,2018,0,19631,9140,10491,46.5590138
AL,Butler ,2019,0,19448,9024,10424,46.40065817
AL,Calhoun ,2015,0,115469,55532,59937,48.09256164
AL,Calhoun ,2016,0,114973,55284,59689,48.08433284
AL,Calhoun ,2017,0,114710,55146,59564,48.07427426
AL,Calhoun ,2018,0,114331,54941,59390,48.05433347
AL,Calhoun ,2019,0,113605,54481,59124,47.956516
AL,Chambers ,2015,0,33996,16352,17644,48.09977644
AL,Chambers ,2016,0,33745,16183,17562,47.95673433
AL,Chambers ,2017,0,33707,16152,17555,47.91882992
AL,Chambers ,2018,0,33600,16087,17513,47.87797619
AL,Chambers ,2019,0,33254,15895,17359,47.79876105
AL,Cherokee ,2015,0,25732,12793,12939,49.71630654
AL,Cherokee ,2016,0,25768,12790,12978,49.63520646
AL,Cherokee ,2017,0,25805,12821,12984,49.68416973
AL,Cherokee ,2018,0,26014,12879,13135,49.50795725
AL,Cherokee ,2019,0,26196,12926,13270,49.34341121
AL,Chilton ,2015,0,43700,21534,22166,49.27688787
AL,Chilton ,2016,0,43866,21537,22329,49.09725072
AL,Chilton ,2017,0,44120,21700,22420,49.18404352
AL,Chilton ,2018,0,44163,21684,22479,49.09992528
AL,Chilton ,2019,0,44428,21800,22628,49.06815522
AL,Choctaw ,2015,0,13231,6293,6938,47.56254251
AL,Choctaw ,2016,0,13045,6204,6841,47.55845151
AL,Choctaw ,2017,0,12925,6131,6794,47.43520309
AL,Choctaw ,2018,0,12833,6067,6766,47.27655264
AL,Choctaw ,2019,0,12589,5938,6651,47.16816268
AL,Clarke ,2015,0,24698,11672,13026,47.25888736
AL,Clarke ,2016,0,24340,11509,12831,47.28430567
AL,Clarke ,2017,0,24063,11345,12718,47.14707227
AL,Clarke ,2018,0,23918,11313,12605,47.29910528
AL,Clarke ,2019,0,23622,11153,12469,47.2144611
AL,Clay ,2015,0,13415,6599,6816,49.19120388
AL,Clay ,2016,0,13393,6558,6835,48.9658777
AL,Clay ,2017,0,13350,6537,6813,48.96629213
AL,Clay ,2018,0,13294,6486,6808,48.78892734
AL,Clay ,2019,0,13235,6447,6788,48.71174915
AL,Cleburne ,2015,0,14914,7361,7553,49.35630951
AL,Cleburne ,2016,0,14848,7376,7472,49.67672414
AL,Cleburne ,2017,0,14899,7365,7534,49.43284784
AL,Cleburne ,2018,0,15010,7410,7600,49.36708861
AL,Cleburne ,2019,0,14910,7340,7570,49.22870557
AL,Coffee ,2015,0,50963,25280,25683,49.60461511
AL,Coffee ,2016,0,51202,25263,25939,49.33986954
AL,Coffee ,2017,0,51853,25525,26328,49.22569572
AL,Coffee ,2018,0,51950,25525,26425,49.13378248
AL,Coffee ,2019,0,52342,25742,26600,49.18039051
