Day,Month,Year,Age,Shootings_signs_of_mental_illness,Shootings_body_camera,Zipcode,WaPo ID (If included in WaPo database),Suicide_Rate_100k,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_Registered,Firearm_per_10k,n,Shootings_10k,Shootings_100k,Offense_City_Pop,Violent,Murder,Rape,Robbery,Aggravated,Property,Burglary,Larceny,Motortheft,Arson,Crime_Index_10k,Violent_10k,Murder_10k,Property_10k,Othercrime_10k,total_expenditure,intergovernmental_expenditure,direct_total_expenditure,ele_sec_education_expenditure,higher_education_expenditure,public_welfare_expenditure,health_hospitals_expenditure,highways_expenditure,police_expenditure,other_expenditure,exh_pop_by_thousands,officers_per_10k_pop,tot_officers,tot_employees_per_10k,tot_employees,tot_pop_2017,hispanic_any,nh_white,nh_black,nh_asian,nh_american_indian,density_p_mi2_2020,tot_pop_2020,landArea_mi,density_p_mi2_2017
2,1,2015,53,1,0,98584,3,7.07,7163657,68.6,3.5,12.7,8.5,1,119829,167.27,16,0.022334961,0.22334961,9758,45,0,5,10,30,693,90,573,30,1,1513.63,46.11600738,0,710.1865136,757.327479,9252.6045,0.82584833,9251.7786,1849.7921,917.28004,1612.6281,1196.3778,583.46589,278.67746,2813.5572,7163.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2015,47,0,0,97007,4,10.11,4015792,75.6,1.8,13.1,4.3,0.9,74722,186.07,15,0.037352532,0.373525322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10138.731,0,10138.731,1655.6776,1065.4825,2471.5814,930.02994,512.40404,302.72936,3200.8259,4016.918,13.7,132,17.8,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2015,47,0,0,97007,4,10.11,4015792,75.6,1.8,13.1,4.3,0.9,74722,186.07,15,0.037352532,0.373525322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10138.731,0,10138.731,1655.6776,1065.4825,2471.5814,930.02994,512.40404,302.72936,3200.8259,4016.918,13.2,68,16.1,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2015,47,0,0,97007,4,10.11,4015792,75.6,1.8,13.1,4.3,0.9,74722,186.07,15,0.037352532,0.373525322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10138.731,0,10138.731,1655.6776,1065.4825,2471.5814,930.02994,512.40404,302.72936,3200.8259,4016.918,12.6,128,17,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,2015,23,0,0,67208,5,8.84,2909011,75.9,5.5,11.9,2.9,0.6,54409,187.04,9,0.03093835,0.309383498,389824,3839,27,349,733,2730,19652,3480,14127,2045,129,1208.52,98.48033985,0.692620259,504.1249384,605.2221015,8398.8799,12.037112,8386.8428,1944.0842,1134.0501,1325.2711,1005.8223,655.83423,270.30468,2051.4762,2909.502,15.3,598,20,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,2015,32,1,0,94110,8,4.06,38918045,37,5.5,39.1,14.4,0.4,376666,96.78,190,0.048820541,0.488205407,863782,6710,53,344,3610,2703,53019,5186,40918,6915,272,1386.11,77.68163726,0.613580741,613.8007043,694.0140776,10611.843,71.544447,10540.298,1849.7758,955.03798,2628.0047,1163.4719,425.19908,424.49015,3094.3187,38953.142,25.9,2236,31.4,2711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,2015,39,0,0,80620,9,11.06,5450623,68.2,3.9,21.5,3.1,0.6,112691,206.75,29,0.053204927,0.532049272,20955,56,0,5,3,48,394,73,263,58,1,429.97,26.72393224,0,188.0219518,215.224116,8265.7341,0.31162264,8265.4225,1664.9539,986.80363,1461.7013,548.49657,539.60166,326.30944,2737.556,5452.107,14.4,144,20,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,2015,18,0,0,73044,11,13.18,3909500,65.6,7.2,10.6,2.1,7.3,83112,212.59,32,0.081851899,0.818518992,11319,39,1,7,1,30,328,109,203,16,2,650.23,34.45534058,0.883470271,289.778249,325.1129402,7353.5311,13.34252,7340.1886,1514.2657,915.72014,1707.2861,545.97091,664.22794,252.42165,1740.2962,3909.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,20.2,354,27.9,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,17.8,2781,23.7,3698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,17.4,408,27.5,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,17.1,412,22.3,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,16.8,789,25.3,1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,14.1,87,18.6,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,13.4,108,19.2,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,13.3,345,19.6,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,11.7,92,16.1,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,11,187,16.6,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,10,128,14,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2015,22,0,0,85225,13,10.89,6829676,54.7,4.1,31.4,3.2,3.9,204817,299.89,42,0.061496329,0.614963287,258875,490,1,79,114,296,5393,770,4367,256,45,456.24,18.92805408,0.038628682,208.3244809,228.9488363,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,9.1,225,13.6,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2015,35,0,0,67416,15,8.84,2909011,75.9,5.5,11.9,2.9,0.6,54409,187.04,9,0.03093835,0.309383498,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8398.8799,12.037112,8386.8428,1944.0842,1134.0501,1325.2711,1005.8223,655.83423,270.30468,2051.4762,2909.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2015,34,0,1,52601,16,7.27,3120960,85.9,3.3,5.9,2.6,0.2,36540,117.08,5,0.016020712,0.160207116,25530,171,3,10,20,138,966,187,718,61,13,895.81,66.9800235,1.175088132,378.3783784,449.27651,9575.1027,0,9575.1027,2050.666,1263.7413,1870.5397,1226.6536,851.31477,238.70849,2073.4788,3121.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2015,47,0,0,15210,17,7.63,12784826,76.4,10.7,7.3,3.5,0.1,271427,212.3,18,0.01407919,0.140791904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8978.4884,10.169361,8968.319,2120.8122,795.01162,2091.5529,663.79751,763.37862,289.11283,2244.6534,12785.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2015,25,0,0,95206,19,4.06,38918045,37,5.5,39.1,14.4,0.4,376666,96.78,190,0.048820541,0.488205407,304890,4122,49,135,1144,2794,12998,2891,8119,1988,103,1126.41,135.1963003,1.607137,426.3176883,563.2888743,10611.843,71.544447,10540.298,1849.7758,955.03798,2628.0047,1163.4719,425.19908,424.49015,3094.3187,38953.142,12.8,389,18.7,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2015,25,0,0,95206,19,4.06,38918045,37,5.5,39.1,14.4,0.4,376666,96.78,190,0.048820541,0.488205407,304890,4122,49,135,1144,2794,12998,2891,8119,1988,103,1126.41,135.1963003,1.607137,426.3176883,563.2888743,10611.843,71.544447,10540.298,1849.7758,955.03798,2628.0047,1163.4719,425.19908,424.49015,3094.3187,38953.142,11,71,15.8,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2015,25,0,0,95206,19,4.06,38918045,37,5.5,39.1,14.4,0.4,376666,96.78,190,0.048820541,0.488205407,304890,4122,49,135,1144,2794,12998,2891,8119,1988,103,1126.41,135.1963003,1.607137,426.3176883,563.2888743,10611.843,71.544447,10540.298,1849.7758,955.03798,2628.0047,1163.4719,425.19908,424.49015,3094.3187,38953.142,9.6,83,14.1,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2015,25,0,0,95206,19,4.06,38918045,37,5.5,39.1,14.4,0.4,376666,96.78,190,0.048820541,0.488205407,304890,4122,49,135,1144,2794,12998,2891,8119,1988,103,1126.41,135.1963003,1.607137,426.3176883,563.2888743,10611.843,71.544447,10540.298,1849.7758,955.03798,2628.0047,1163.4719,425.19908,424.49015,3094.3187,38953.142,8,60,11.2,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,2015,31,0,0,77541,21,7.24,27470056,41.9,11.8,39.4,4.8,0.3,725368,264.06,100,0.036403275,0.364032749,12227,28,0,5,2,21,266,78,173,15,1,481.72,22.90013904,0,217.5513208,241.2685401,7455.5395,0,7455.5395,1826.1373,1003.8401,1288.5864,814.32748,459.20895,265.86672,1797.5725,27486.814,13.7,146,16.8,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,2015,41,1,0,43219,22,7.97,11617527,78.9,12.2,3.7,2.2,0.2,175819,151.34,29,0.024962283,0.249622833,847745,4631,77,806,2240,1508,33353,7219,23021,3113,405,900.9,54.62727589,0.908291998,393.4319872,451.9324449,8540.1446,1.115783,8539.0288,1916.7463,813.21544,2253.4218,674.66106,504.90512,294.28896,2081.7902,11617.85,21.9,1855,26,2205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,2015,30,0,0,50309,25,7.27,3120960,85.9,3.3,5.9,2.6,0.2,36540,117.08,5,0.016020712,0.160207116,210403,1502,19,120,281,1082,8440,2012,5478,950,39,946.9,71.38681483,0.903028949,401.1349648,473.4751914,9575.1027,0,9575.1027,2050.666,1263.7413,1870.5397,1226.6536,851.31477,238.70849,2073.4788,3121.46,17.1,360,21.8,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,2015,30,0,0,50309,25,7.27,3120960,85.9,3.3,5.9,2.6,0.2,36540,117.08,5,0.016020712,0.160207116,210403,1502,19,120,281,1082,8440,2012,5478,950,39,946.9,71.38681483,0.903028949,401.1349648,473.4751914,9575.1027,0,9575.1027,2050.666,1263.7413,1870.5397,1226.6536,851.31477,238.70849,2073.4788,3121.46,10,65,12.8,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
