State,tot_pop_2017,hispanic_any,nh_white,nh_black,nh_asian,nh_american_indian,density_p_mi2_2020,tot_pop_2020,landArea_mi,density_p_mi2_2017,Year
AL,4874747,201970,3191450,1302295,65494,22209,96.9221,4908621,50645,96.25327278,2015
AK,739795,51712,448081,21192,48569,105146,1.2863,734002,570641,1.296428052,2015
AZ,7016270,2202173,3836639,290379,225810,274496,64.955,7378494,113594,61.76620244,2015
AR,3004279,223764,2173307,455500,46583,16901,58.403,3038999,52035,57.73573556,2015
CA,39536653,15477306,14616636,2164239,5679986,147880,256.3727,39937489,155779,253.7996328,2015
CO,5607154,1206724,3822055,219500,176176,32102,56.4011,5845526,103642,54.1011752,2015
CT,3588184,578833,2393694,354320,162564,7486,735.8689,3563077,4842,741.0541099,2015
DE,961939,89540,597917,206690,38404,2344,504.3073,982895,1949,493.5551565,2015
DC,693972,76526,253416,314705,28056,1574,11814.541,720687,61,11376.59016,2015
FL,20984400,5370860,11288419,3224452,578136,42654,410.1256,21992985,53625,391.3174825,2015
GA,10429379,1001472,5487048,3245371,408067,18335,186.6719,10736059,57513,181.3395059,2015
HI,1427538,150125,310584,22629,532881,1659,219.9419,1412687,6423,222.2540869,2015
ID,1716943,213619,1407302,10947,22698,19136,22.0969,1826156,82643,20.77541958,2015
IL,12802023,2206927,7834272,1790512,689701,12784,228.0243,12659682,55519,230.588141,2015
IN,6666818,461618,5278785,613080,146611,9694,188.281,6745354,35826,186.0888182,2015
IA,3145711,185746,2701250,103989,80937,7825,56.9284,3179849,55857,56.31722076,2015
KS,2913123,345510,2210739,161148,85386,17617,35.5968,2910357,81759,35.63060947,2015
KY,4454189,155163,3769995,355829,64381,6882,113.9566,4499692,39486,112.8042597,2015
LA,4684333,243620,2739086,1505991,83959,21942,107.5175,4645184,43204,108.423595,2015
ME,1335907,21899,1247090,15761,15141,8225,43.6336,1345790,30843,43.31313426,2015
MD,6052177,612709,3066146,1776692,389297,11879,626.6731,6083116,9707,623.485835,2015
MA,6859819,811292,4906564,477846,450311,9439,894.4355,6976597,7800,879.4639744,2015
MI,9962311,504398,7476534,1359264,306376,45421,177.6655,10045029,56539,176.202462,2015
