Year,State,State_median_age
2015,AL,39.16666667
2015,AK,34.53333333
2015,AZ,37.83333333
2015,AR,38.23333333
2015,CA,36.7
2015,CO,36.86666667
2015,CT,40.96666667
2015,DE,40.66666667
2015,DC,34.03333333
2015,FL,42.2
2015,GA,36.83333333
2015,HI,39.23333333
2015,ID,36.53333333
2015,IL,38.26666667
2015,IN,37.8
2015,IA,38.26666667
2015,KS,36.83333333
2015,KY,38.9
2015,LA,37.1
2015,ME,44.83333333
2015,MD,38.83333333
2015,MA,39.46666667
2015,MI,39.8
2015,MN,38.1
2015,MS,37.63333333
2015,MO,38.7
2015,MT,39.93333333
2015,NE,36.6
2015,NV,38.1
2015,NH,42.93333333
2015,NJ,39.96666667
2015,NM,38
2015,NY,38.96666667
2015,NC,38.86666667
2015,ND,35.2
2015,OH,39.4
2015,OK,36.66666667
2015,OR,39.4
2015,PA,40.76666667
2015,RI,40.03333333
2015,SC,39.56666667
2015,SD,37.1
2015,TN,38.83333333
2015,TX,34.73333333
2015,UT,31
2015,VT,42.9
2015,VA,38.36666667
2015,WA,37.7
2015,WV,42.66666667
2015,WI,39.56666667
2015,WY,37.9
2016,AL,39.16666667
2016,AK,34.53333333
2016,AZ,37.83333333
2016,AR,38.23333333
2016,CA,36.7
2016,CO,36.86666667
2016,CT,40.96666667
2016,DE,40.66666667
2016,DC,34.03333333
2016,FL,42.2
2016,GA,36.83333333
2016,HI,39.23333333
2016,ID,36.53333333
2016,IL,38.26666667
2016,IN,37.8
2016,IA,38.26666667
2016,KS,36.83333333
2016,KY,38.9
2016,LA,37.1
2016,ME,44.83333333
2016,MD,38.83333333
2016,MA,39.46666667
2016,MI,39.8
2016,MN,38.1
2016,MS,37.63333333
2016,MO,38.7
2016,MT,39.93333333
2016,NE,36.6
2016,NV,38.1
2016,NH,42.93333333
2016,NJ,39.96666667
2016,NM,38
2016,NY,38.96666667
2016,NC,38.86666667
2016,ND,35.2
2016,OH,39.4
2016,OK,36.66666667
2016,OR,39.4
2016,PA,40.76666667
2016,RI,40.03333333
2016,SC,39.56666667
2016,SD,37.1
2016,TN,38.83333333
2016,TX,34.73333333
2016,UT,31
2016,VT,42.9
2016,VA,38.36666667
2016,WA,37.7
2016,WV,42.66666667
2016,WI,39.56666667
2016,WY,37.9
2017,AL,39.16666667
2017,AK,34.53333333
2017,AZ,37.83333333
2017,AR,38.23333333
2017,CA,36.7
2017,CO,36.86666667
2017,CT,40.96666667
2017,DE,40.66666667
2017,DC,34.03333333
2017,FL,42.2
2017,GA,36.83333333
2017,HI,39.23333333
2017,ID,36.53333333
2017,IL,38.26666667
2017,IN,37.8
