State,total_expenditure,intergovernmental_expenditure,direct_total_expenditure,ele_sec_education_expenditure,higher_education_expenditure,public_welfare_expenditure,health_hospitals_expenditure,highways_expenditure,police_expenditure,other_expenditure,exh_pop_by_thousands,Year
United States,8867.8236,10.00806,8857.8155,1901.6062,854.06463,1912.7544,816.87889,533.39878,326.76327,2512.3495,320742.673,2015
New England,9790.6385,1.3431505,9789.2953,2296.2473,772.02865,2247.7034,428.64425,613.07849,332.75699,3098.8362,14729.548,2015
CT,9366.4933,0,9366.4933,2557.0389,870.30722,1045.7345,637.71129,656.71835,326.85493,3272.1281,3587.509,2015
ME,8174.4944,0,8174.4944,1783.3794,593.19043,2299.9404,325.73821,670.67424,199.69529,2301.8764,1328.484,2015
MA,10605.79,0.22631322,10605.564,2279.4021,757.9015,2901.6857,405.26342,582.31761,357.0275,3321.9663,6795.891,2015
NH,7620.8544,0,7620.8544,2136.7723,675.05654,1408.6646,132.4469,540.95281,299.98863,2426.9727,1336.294,2015
RI,9914.0359,17.275579,9896.7603,2220.6892,612.72727,2772.8194,265.17436,420.35443,396.51175,3208.4838,1056.173,2015
VT,11227.149,0,11227.149,2541.1798,1218.0449,2831.3188,611.0378,1054.3877,347.88235,2623.2979,625.197,2015
Mideast,11105.498,3.0648945,11102.433,2745.7423,770.87766,2485.3047,798.24495,617.64242,412.58119,3272.0397,48921.423,2015
DE,10102.492,0.97300547,10101.519,1999.352,1362.8429,2422.5202,588.26785,497.16331,383.05717,2848.3152,941.413,2015
DC,18346.277,0,18346.277,3770.7381,263.89329,5277.3815,1110.5569,695.84334,865.84752,6362.0164,675.254,2015
MD,9690.1809,0,9690.1809,2128.4839,993.59231,2061.6388,377.82611,573.64612,430.09132,3124.9023,5986.717,2015
NJ,10225.63,2.141842,10223.489,2963.8177,723.05566,1838.1652,632.19725,571.02805,383.05357,3112.1711,8870.869,2015
NY,13115.964,0,13115.964,3242.2259,698.01318,3069.4549,1087.9349,560.38155,486.70958,3971.2437,19661.411,2015
PA,8978.4884,10.169361,8968.319,2120.8122,795.01162,2091.5529,663.79751,763.37862,289.11283,2244.6534,12785.759,2015
Great Lakes,8433.0515,0.78515376,8432.2664,1837.1632,898.29122,1880.8199,656.3624,546.93937,296.73633,2315.954,46784.467,2015
IL,8975.2662,0.73521055,8974.531,2046.749,751.53568,1728.6935,378.4335,689.12316,389.42272,2990.5735,12864.342,2015
IN,7422.9222,0.49770773,7422.4245,1477.7518,887.08738,1753.7644,859.32818,413.75765,181.79467,1848.9405,6608.296,2015
MI,8032.4078,1.1097829,8031.298,1684.4118,1110.2956,1648.9879,860.11459,367.39846,245.08644,2115.0032,9932.573,2015
OH,8540.1446,1.115783,8539.0288,1916.7463,813.21544,2253.4218,674.66106,504.90512,294.28896,2081.7902,11617.85,2015
WI,8855.7312,0,8855.7312,1884.2947,1044.8875,2014.5513,655.97009,776.5108,315.59779,2163.919,5761.406,2015
Plains,8710.8549,6.2778306,8704.5771,1941.6856,942.83682,1768.7204,829.82211,732.21594,281.80377,2207.4925,21084.672,2015
IA,9575.1027,0,9575.1027,2050.666,1263.7413,1870.5397,1226.6536,851.31477,238.70849,2073.4788,3121.46,2015
KS,8398.8799,12.037112,8386.8428,1944.0842,1134.0501,1325.2711,1005.8223,655.83423,270.30468,2051.4762,2909.502,2015
MN,9523.8764,0.04414042,9523.8323,2081.8964,855.81695,2474.3731,568.78947,803.26668,335.68463,2404.0051,5482.503,2015
MO,7392.589,8.8421039,7383.7468,1670.6273,650.30201,1468.5763,948.10322,396.18874,283.00151,1966.9477,6071.745,2015
NE,8762.1812,22.952598,8739.2286,2210.945,1160.3679,1353.5186,718.94685,766.58876,245.79343,2283.0679,1891.507,2015
ND,11959.819,0,11959.819,2286.5473,1463.46,1912.2492,306.812,2241.3192,253.5125,3495.9192,754.022,2015
SD,7785.5886,0,7785.5886,1661.3294,815.46679,1304.0227,321.88474,1081.5322,228.81186,2372.5409,853.933,2015
Southeast,7534.9218,0.02486667,7534.897,1552.9276,733.80099,1550.7299,864.39947,471.0626,288.59802,2073.3783,82037.513,2015
AL,8299.129,0,8299.129,1544.7459,1002.097,1678.5247,1270.9249,491.96297,255.34621,2055.5273,4853.16,2015
AR,7772.846,0.04431899,7772.8017,1685.9039,860.12892,2213.0451,469.51978,574.76799,227.46925,1741.9668,2978.407,2015
FL,7057.3274,0,7057.3274,1317.424,509.53037,1332.9758,673.43282,517.45111,372.31484,2334.1984,20224.249,2015
GA,6495.0212,0,6495.0212,1792.13,528.96614,1152.8719,693.04627,313.11573,250.25147,1764.6397,10181.111,2015
KY,8481.5284,0,8481.5284,1548.5539,901.5838,2459.8984,673.97553,659.14339,174.31296,2064.0603,4425.999,2015
LA,8509.0752,0,8509.0752,1694.5774,659.24571,1817.3633,762.08458,489.68059,327.62054,2758.5031,4664.851,2015
MS,8393.2856,0,8393.2856,1491.4951,951.76219,1956.3796,1353.046,540.05982,244.03677,1856.5062,2988.693,2015
NC,7554.4129,0,7554.4129,1382.5269,959.37668,1453.3293,1297.5582,412.5589,298.43052,1750.6323,10033.079,2015
SC,7991.2455,0,7991.2455,1681.7327,827.22357,1558.2361,1478.9485,322.95182,235.15362,1886.9993,4892.253,2015
TN,6675.8555,0,6675.8555,1395.3644,593.79897,1646.037,639.90348,335.56128,274.47697,1790.7134,6590.808,2015
VA,8247.06,0.22815033,8246.8319,1952.5476,947.77713,1301.3177,826.15411,603.34558,278.06168,2337.6281,8362.907,2015
WV,8516.424,0,8516.424,1710.0151,901.86515,2516.9197,384.80865,597.25483,202.66494,2202.8957,1841.996,2015
Southwest,7359.7362,1.2938099,7358.4424,1677.176,973.36153,1438.5643,708.65084,459.6225,274.92832,1826.1389,40320.452,2015
AZ,6070.9275,0,6070.9275,1131.5749,806.18857,1479.6362,271.96618,327.10435,309.24509,1745.2122,6833.596,2015
NM,10325.049,0,10325.049,1806.7779,1226.9249,2773.8788,1050.9432,515.58335,323.99743,2626.9439,2090.211,2015
OK,7353.5311,13.34252,7340.1886,1514.2657,915.72014,1707.2861,545.97091,664.22794,252.42165,1740.2962,3909.831,2015
TX,7455.5395,0,7455.5395,1826.1373,1003.8401,1288.5864,814.32748,459.20895,265.86672,1797.5725,27486.814,2015
Rocky Mountain,8192.6549,1.8425441,8190.8124,1637.4922,1028.1644,1405.0169,695.46332,608.86264,291.69818,2524.1148,11702.298,2015
CO,8265.7341,0.31162264,8265.4225,1664.9539,986.80363,1461.7013,548.49657,539.60166,326.30944,2737.556,5452.107,2015
ID,6814.9296,0,6814.9296,1197.6878,633.51343,1543.5898,621.8775,534.8439,244.95027,2038.4669,1651.523,2015
MT,8013.1101,0,8013.1101,1714.1726,836.29645,1473.034,477.99958,875.88974,310.57454,2325.1432,1030.503,2015
UT,7563.739,0,7563.739,1481.008,1324.7272,1201.1911,702.10129,531.19182,230.52563,2092.9939,2982.497,2015
WY,14916.038,33.915119,14882.123,3284.0176,1353.4357,1404.8659,2619.9434,1388.0458,379.62463,4452.1896,585.668,2015
Far West [2],10187.294,52.734327,10134.559,1812.7023,934.30764,2400.0957,1111.3287,456.90357,393.78241,3025.4389,53002.269,2015
CA,10611.843,71.544447,10540.298,1849.7758,955.03798,2628.0047,1163.4719,425.19908,424.49015,3094.3187,38953.142,2015
NV,6824.4874,0.78154794,6823.7059,1436.5451,511.65385,1171.6969,444.77084,493.65036,391.74271,2373.6461,2868.666,2015
OR,10138.731,0,10138.731,1655.6776,1065.4825,2471.5814,930.02994,512.40404,302.72936,3200.8259,4016.918,2015
WA,9252.6045,0.82584833,9251.7786,1849.7921,917.28004,1612.6281,1196.3778,583.46589,278.67746,2813.5572,7163.543,2015
AK,20072.26,0,20072.26,3594.5316,1173.0954,2729.4776,987.83264,2160.7247,535.63908,8890.9588,737.547,2015
HI,9180.234,0.26854432,9179.9655,1387.5207,760.8648,1853.4135,831.27192,490.6832,320.60677,3535.6046,1422.484,2015
United States,9175.1809,9.9231395,9165.2577,1961.0557,891.81243,2019.7196,858.39799,550.90524,337.74601,2545.6207,323071.342,2016
New England,10168.05,1.5071333,10166.543,2323.2938,807.2856,2439.5946,455.01942,622.90772,345.27404,3173.1674,14759.146,2016
CT,9717.1444,0,9717.1444,2636.6579,940.94069,1076.933,657.80202,718.70447,349.10528,3337.0011,3578.674,2016
ME,8535.83,0,8535.83,1821.1759,610.77011,2385.2325,337.03478,756.2278,217.78319,2407.6057,1331.37,2016
MA,11027.339,0.55449572,11026.784,2268.1068,760.98114,3202.3369,443.93455,563.29045,368.50965,3419.6246,6826.022,2016
NH,8039.1657,0,8039.1657,2178.2664,733.91524,1683.0054,147.72198,533.79649,293.35513,2469.1051,1342.373,2016
RI,10062.718,17.462535,10045.256,2284.4012,645.95204,2818.3836,281.0911,427.35958,415.5022,3172.5659,1057.063,2016
VT,11595.635,0,11595.635,2579.1718,1398.0588,3013.0363,620.84298,964.3723,333.85553,2686.297,623.644,2016
Mideast,11554.462,2.8822361,11551.579,2834.5139,813.6978,2665.0433,862.3127,643.19771,424.76948,3308.0446,48940.126,2016
DE,10470.806,0.26548225,10470.541,2054.0341,1330.3537,2545.7346,596.18885,617.45588,373.38182,2953.3921,949.216,2016
