Year,State,Suicide_Rate_100k,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_Registered,Firearm_per_10k
2015,AL,11.31,4852347,65.50,26.70,4.10,1.30,0.50,168265,346.77
2015,AK,15.23,737498,60.60,2.90,7.00,6.60,14.20,20520,278.24
2015,AZ,10.89,6829676,54.70,4.10,31.40,3.20,3.90,204817,299.89
2015,AR,11.08,2978048,72.30,15.20,7.40,1.60,0.60,108801,365.34
2015,CA,4.06,38918045,37.00,5.50,39.10,14.40,0.40,376666,96.78
2015,CO,11.06,5450623,68.20,3.90,21.50,3.10,0.60,112691,206.75
2015,CT,3.08,3587122,66.70,9.90,16.10,4.50,0.20,74877,208.74
2015,DE,6.83,941252,62.20,21.50,9.30,4.00,0.20,5281,56.11
2015,DC,,675400,36.50,45.30,11.00,4.00,0.20,59832,885.88
2015,FL,8.11,20209042,53.80,15.40,25.60,2.80,0.20,432581,214.05
2015,GA,8.45,10178447,52.60,31.10,9.60,3.90,0.20,225993,222.03
2015,HI,2.59,1422052,21.80,1.60,10.50,37.30,0.10,8665,60.93
2015,ID,12.77,1651059,82.00,0.60,12.40,1.30,1.10,58797,356.12
2015,IL,3.95,12858913,61.20,14.00,17.20,5.40,0.10,147698,114.86
2015,IN,8.91,6608422,79.20,9.20,6.90,2.20,0.10,133594,202.16
2015,IA,7.27,3120960,85.90,3.30,5.90,2.60,0.20,36540,117.08
2015,KS,8.84,2909011,75.90,5.50,11.90,2.90,0.60,54409,187.04
2015,KY,11.16,4425976,84.60,8.00,3.50,1.40,0.20,93719,211.75
2015,LA,9.40,4664628,58.50,32.10,5.20,1.80,0.50,116398,249.53
2015,ME,8.41,1328262,93.40,1.20,1.60,1.10,0.60,17410,131.07
2015,MD,4.17,5985562,50.70,29.40,10.10,6.40,0.20,128289,214.33
2015,MA,2.06,6794228,71.50,7.00,11.80,6.60,0.10,39886,58.71
2015,MI,7.22,9931715,75.00,13.60,5.10,3.10,0.50,83355,83.93
2015,MN,6.01,5482032,79.90,6.40,5.30,4.90,1.00,98585,179.83
2015,MS,8.97,2988471,56.60,37.90,2.90,0.90,0.40,52346,175.16
2015,MO,10.67,6071732,79.40,11.40,4.20,2.00,0.30,88270,145.38
2015,MT,15.54,1030475,86.30,0.40,3.70,0.70,5.90,23476,227.82
2015,NE,6.08,1891277,79.00,4.50,10.90,2.40,0.70,29753,157.32
2015,NV,11.36,2866939,48.80,8.90,28.80,8.30,0.90,96822,337.72
2015,NH,9.21,1336350,90.30,1.30,3.80,2.70,0.10,59341,444.05
2015,NJ,1.97,8867949,54.80,12.80,20.40,9.80,0.10,90217,101.73
2015,NM,11.68,2089291,37.40,1.80,48.80,1.30,8.80,105836,506.56
2015,NY,2.48,19654666,55.10,14.30,19.20,8.70,0.20,82917,42.19
2015,NC,7.77,10031646,63.00,21.20,9.40,2.90,1.10,181209,180.64
2015,ND,9.90,754066,84.40,3.00,3.50,1.70,5.40,19720,261.52
2015,OH,7.97,11617527,78.90,12.20,3.70,2.20,0.20,175819,151.34
2015,OK,13.18,3909500,65.60,7.20,10.60,2.10,7.30,83112,212.59
2015,OR,10.11,4015792,75.60,1.80,13.10,4.30,0.90,74722,186.07
2015,PA,7.63,12784826,76.40,10.70,7.30,3.50,0.10,271427,212.30
2015,RI,3.31,1056065,72.10,5.40,15.40,3.60,0.30,4655,44.08
2015,SC,10.58,4891938,63.60,26.80,5.70,1.50,0.20,99283,202.95
2015,SD,9.71,853988,82.30,1.90,3.60,1.20,8.60,31134,364.57
2015,TN,10.15,6591170,73.90,16.60,5.40,1.80,0.20,121140,183.79
2015,TX,7.24,27470056,41.90,11.80,39.40,4.80,0.30,725368,264.06
2015,UT,10.13,2981835,78.30,1.20,14.00,2.40,1.00,93440,313.36
2015,VT,11.05,625216,92.80,1.20,1.90,1.80,0.30,7716,123.41
2015,VA,7.98,8361808,61.70,18.80,9.30,6.40,0.20,356963,426.90
2015,WA,7.07,7163657,68.60,3.50,12.70,8.50,1.00,119829,167.27
2015,WV,13.00,1842050,92.00,3.90,1.30,0.80,0.10,41651,226.11
2015,WI,7.87,5760940,81.20,6.30,6.90,2.70,0.80,79639,138.24
2015,WY,14.86,585613,84.00,0.90,10.00,0.80,2.10,134050,2289.05
2016,AL,11.31,4863525,65.50,26.70,4.10,1.30,0.50,168265,345.97
2016,AK,15.23,741456,60.60,2.90,7.00,6.60,14.20,20520,276.75
2016,AZ,10.89,6941072,54.70,4.10,31.40,3.20,3.90,204817,295.08
2016,AR,11.08,2989918,72.30,15.20,7.40,1.60,0.60,108801,363.89
2016,CA,4.06,39167117,37.00,5.50,39.10,14.40,0.40,376666,96.17
2016,CO,11.06,5539215,68.20,3.90,21.50,3.10,0.60,112691,203.44
2016,CT,3.08,3578141,66.70,9.90,16.10,4.50,0.20,74877,209.26
2016,DE,6.83,948921,62.20,21.50,9.30,4.00,0.20,5281,55.65
2016,DC,,685815,36.50,45.30,11.00,4.00,0.20,59832,872.42
2016,FL,8.11,20613477,53.80,15.40,25.60,2.80,0.20,432581,209.85
2016,GA,8.45,10301890,52.60,31.10,9.60,3.90,0.20,225993,219.37
2016,HI,2.59,1427559,21.80,1.60,10.50,37.30,0.10,8665,60.70
2016,ID,12.77,1682380,82.00,0.60,12.40,1.30,1.10,58797,349.49
2016,IL,3.95,12820527,61.20,14.00,17.20,5.40,0.10,147698,115.20
2016,IN,8.91,6634304,79.20,9.20,6.90,2.20,0.10,133594,201.37
2016,IA,7.27,3131371,85.90,3.30,5.90,2.60,0.20,36540,116.69
2016,KS,8.84,2910844,75.90,5.50,11.90,2.90,0.60,54409,186.92
2016,KY,11.16,4438182,84.60,8.00,3.50,1.40,0.20,93719,211.17
2016,LA,9.40,4678135,58.50,32.10,5.20,1.80,0.50,116398,248.81
2016,ME,8.41,1331317,93.40,1.20,1.60,1.10,0.60,17410,130.77
2016,MD,4.17,6003323,50.70,29.40,10.10,6.40,0.20,128289,213.70
2016,MA,2.06,6823608,71.50,7.00,11.80,6.60,0.10,39886,58.45
2016,MI,7.22,9950571,75.00,13.60,5.10,3.10,0.50,83355,83.77
2016,MN,6.01,5522744,79.90,6.40,5.30,4.90,1.00,98585,178.51
2016,MS,8.97,2987938,56.60,37.90,2.90,0.90,0.40,52346,175.19
2016,MO,10.67,6087135,79.40,11.40,4.20,2.00,0.30,88270,145.01
2016,MT,15.54,1040859,86.30,0.40,3.70,0.70,5.90,23476,225.54
2016,NE,6.08,1905616,79.00,4.50,10.90,2.40,0.70,29753,156.13
2016,NV,11.36,2917563,48.80,8.90,28.80,8.30,0.90,96822,331.86
2016,NH,9.21,1342307,90.30,1.30,3.80,2.70,0.10,59341,442.08
2016,NJ,1.97,8870827,54.80,12.80,20.40,9.80,0.10,90217,101.70
2016,NM,11.68,2091630,37.40,1.80,48.80,1.30,8.80,105836,506.00
2016,NY,2.48,19633428,55.10,14.30,19.20,8.70,0.20,82917,42.23
2016,NC,7.77,10154788,63.00,21.20,9.40,2.90,1.10,181209,178.45
2016,ND,9.90,754434,84.40,3.00,3.50,1.70,5.40,19720,261.39
2016,OH,7.97,11634370,78.90,12.20,3.70,2.20,0.20,175819,151.12
2016,OK,13.18,3926331,65.60,7.20,10.60,2.10,7.30,83112,211.68
2016,OR,10.11,4089976,75.60,1.80,13.10,4.30,0.90,74722,182.70
2016,PA,7.63,12782275,76.40,10.70,7.30,3.50,0.10,271427,212.35
2016,RI,3.31,1056770,72.10,5.40,15.40,3.60,0.30,4655,44.05
2016,SC,10.58,4957968,63.60,26.80,5.70,1.50,0.20,99283,200.25
2016,SD,9.71,862996,82.30,1.90,3.60,1.20,8.60,31134,360.77
2016,TN,10.15,6646010,73.90,16.60,5.40,1.80,0.20,121140,182.27
2016,TX,7.24,27914410,41.90,11.80,39.40,4.80,0.30,725368,259.85
2016,UT,10.13,3041868,78.30,1.20,14.00,2.40,1.00,93440,307.18
2016,VT,11.05,623657,92.80,1.20,1.90,1.80,0.30,7716,123.72
2016,VA,7.98,8410106,61.70,18.80,9.30,6.40,0.20,356963,424.45
2016,WA,7.07,7294771,68.60,3.50,12.70,8.50,1.00,119829,164.27
2016,WV,13.00,1831023,92.00,3.90,1.30,0.80,0.10,41651,227.47
2016,WI,7.87,5772628,81.20,6.30,6.90,2.70,0.80,79639,137.96
2016,WY,14.86,584215,84.00,0.90,10.00,0.80,2.10,134050,2294.53
2017,AL,11.31,4874486,65.50,26.70,4.10,1.30,0.50,168265,345.20
2017,AK,15.23,739700,60.60,2.90,7.00,6.60,14.20,20520,277.41
2017,AZ,10.89,7044008,54.70,4.10,31.40,3.20,3.90,204817,290.77
2017,AR,11.08,3001345,72.30,15.20,7.40,1.60,0.60,108801,362.51
2017,CA,4.06,39358497,37.00,5.50,39.10,14.40,0.40,376666,95.70
2017,CO,11.06,5611885,68.20,3.90,21.50,3.10,0.60,112691,200.81
2017,CT,3.08,3573297,66.70,9.90,16.10,4.50,0.20,74877,209.55
2017,DE,6.83,956823,62.20,21.50,9.30,4.00,0.20,5281,55.19
2017,DC,,694906,36.50,45.30,11.00,4.00,0.20,59832,861.01
2017,FL,8.11,20963613,53.80,15.40,25.60,2.80,0.20,432581,206.35
2017,GA,8.45,10410330,52.60,31.10,9.60,3.90,0.20,225993,217.09
2017,HI,2.59,1424393,21.80,1.60,10.50,37.30,0.10,8665,60.83
2017,ID,12.77,1717715,82.00,0.60,12.40,1.30,1.10,58797,342.30
2017,IL,3.95,12778828,61.20,14.00,17.20,5.40,0.10,147698,115.58
2017,IN,8.91,6658078,79.20,9.20,6.90,2.20,0.10,133594,200.65
2017,IA,7.27,3141550,85.90,3.30,5.90,2.60,0.20,36540,116.31
2017,KS,8.84,2908718,75.90,5.50,11.90,2.90,0.60,54409,187.05
2017,KY,11.16,4452268,84.60,8.00,3.50,1.40,0.20,93719,210.50
2017,LA,9.40,4670560,58.50,32.10,5.20,1.80,0.50,116398,249.22
2017,ME,8.41,1334612,93.40,1.20,1.60,1.10,0.60,17410,130.45
2017,MD,4.17,6023868,50.70,29.40,10.10,6.40,0.20,128289,212.97
2017,MA,2.06,6859789,71.50,7.00,11.80,6.60,0.10,39886,58.14
2017,MI,7.22,9973114,75.00,13.60,5.10,3.10,0.50,83355,83.58
2017,MN,6.01,5566230,79.90,6.40,5.30,4.90,1.00,98585,177.11
2017,MS,8.97,2988510,56.60,37.90,2.90,0.90,0.40,52346,175.16
2017,MO,10.67,6106670,79.40,11.40,4.20,2.00,0.30,88270,144.55
2017,MT,15.54,1052482,86.30,0.40,3.70,0.70,5.90,23476,223.05
2017,NE,6.08,1915947,79.00,4.50,10.90,2.40,0.70,29753,155.29
2017,NV,11.36,2969905,48.80,8.90,28.80,8.30,0.90,96822,326.01
2017,NH,9.21,1348787,90.30,1.30,3.80,2.70,0.10,59341,439.96
2017,NJ,1.97,8885525,54.80,12.80,20.40,9.80,0.10,90217,101.53
2017,NM,11.68,2091784,37.40,1.80,48.80,1.30,8.80,105836,505.96
2017,NY,2.48,19589572,55.10,14.30,19.20,8.70,0.20,82917,42.33
2017,NC,7.77,10268233,63.00,21.20,9.40,2.90,1.10,181209,176.48
2017,ND,9.90,754942,84.40,3.00,3.50,1.70,5.40,19720,261.21
2017,OH,7.97,11659650,78.90,12.20,3.70,2.20,0.20,175819,150.79
2017,OK,13.18,3931316,65.60,7.20,10.60,2.10,7.30,83112,211.41
2017,OR,10.11,4143625,75.60,1.80,13.10,4.30,0.90,74722,180.33
2017,PA,7.63,12787641,76.40,10.70,7.30,3.50,0.10,271427,212.26
2017,RI,3.31,1055673,72.10,5.40,15.40,3.60,0.30,4655,44.10
2017,SC,10.58,5021268,63.60,26.80,5.70,1.50,0.20,99283,197.72
2017,SD,9.71,872868,82.30,1.90,3.60,1.20,8.60,31134,356.69
2017,TN,10.15,6708799,73.90,16.60,5.40,1.80,0.20,121140,180.57
2017,TX,7.24,28295273,41.90,11.80,39.40,4.80,0.30,725368,256.36
2017,UT,10.13,3101042,78.30,1.20,14.00,2.40,1.00,93440,301.32
2017,VT,11.05,624344,92.80,1.20,1.90,1.80,0.30,7716,123.59
2017,VA,7.98,8463587,61.70,18.80,9.30,6.40,0.20,356963,421.76
2017,WA,7.07,7423362,68.60,3.50,12.70,8.50,1.00,119829,161.42
2017,WV,13.00,1817004,92.00,3.90,1.30,0.80,0.10,41651,229.23
2017,WI,7.87,5790186,81.20,6.30,6.90,2.70,0.80,79639,137.54
2017,WY,14.86,578931,84.00,0.90,10.00,0.80,2.10,134050,2315.47
2018,AL,11.31,4887681,65.50,26.70,4.10,1.30,0.50,168265,344.26
2018,AK,15.23,735139,60.60,2.90,7.00,6.60,14.20,20520,279.13
2018,AZ,10.89,7158024,54.70,4.10,31.40,3.20,3.90,204817,286.14
2018,AR,11.08,3009733,72.30,15.20,7.40,1.60,0.60,108801,361.50
2018,CA,4.06,39461588,37.00,5.50,39.10,14.40,0.40,376666,95.45
2018,CO,11.06,5691287,68.20,3.90,21.50,3.10,0.60,112691,198.01
2018,CT,3.08,3571520,66.70,9.90,16.10,4.50,0.20,74877,209.65
2018,DE,6.83,965479,62.20,21.50,9.30,4.00,0.20,5281,54.70
2018,DC,,701547,36.50,45.30,11.00,4.00,0.20,59832,852.86
2018,FL,8.11,21244317,53.80,15.40,25.60,2.80,0.20,432581,203.62
2018,GA,8.45,10511131,52.60,31.10,9.60,3.90,0.20,225993,215.00
2018,HI,2.59,1420593,21.80,1.60,10.50,37.30,0.10,8665,61.00
2018,ID,12.77,1750536,82.00,0.60,12.40,1.30,1.10,58797,335.88
2018,IL,3.95,12723071,61.20,14.00,17.20,5.40,0.10,147698,116.09
2018,IN,8.91,6695497,79.20,9.20,6.90,2.20,0.10,133594,199.53
2018,IA,7.27,3148618,85.90,3.30,5.90,2.60,0.20,36540,116.05
2018,KS,8.84,2911359,75.90,5.50,11.90,2.90,0.60,54409,186.89
2018,KY,11.16,4461153,84.60,8.00,3.50,1.40,0.20,93719,210.08
2018,LA,9.40,4659690,58.50,32.10,5.20,1.80,0.50,116398,249.80
2018,ME,8.41,1339057,93.40,1.20,1.60,1.10,0.60,17410,130.02
2018,MD,4.17,6035802,50.70,29.40,10.10,6.40,0.20,128289,212.55
2018,MA,2.06,6882635,71.50,7.00,11.80,6.60,0.10,39886,57.95
2018,MI,7.22,9984072,75.00,13.60,5.10,3.10,0.50,83355,83.49
2018,MN,6.01,5606249,79.90,6.40,5.30,4.90,1.00,98585,175.85
2018,MS,8.97,2981020,56.60,37.90,2.90,0.90,0.40,52346,175.60
2018,MO,10.67,6121623,79.40,11.40,4.20,2.00,0.30,88270,144.19
2018,MT,15.54,1060665,86.30,0.40,3.70,0.70,5.90,23476,221.33
2018,NE,6.08,1925614,79.00,4.50,10.90,2.40,0.70,29753,154.51
2018,NV,11.36,3027341,48.80,8.90,28.80,8.30,0.90,96822,319.83
2018,NH,9.21,1353465,90.30,1.30,3.80,2.70,0.10,59341,438.44
2018,NJ,1.97,8886025,54.80,12.80,20.40,9.80,0.10,90217,101.53
2018,NM,11.68,2092741,37.40,1.80,48.80,1.30,8.80,105836,505.73
2018,NY,2.48,19530351,55.10,14.30,19.20,8.70,0.20,82917,42.46
2018,NC,7.77,10381615,63.00,21.20,9.40,2.90,1.10,181209,174.55
2018,ND,9.90,758080,84.40,3.00,3.50,1.70,5.40,19720,260.13
2018,OH,7.97,11676341,78.90,12.20,3.70,2.20,0.20,175819,150.58
2018,OK,13.18,3940235,65.60,7.20,10.60,2.10,7.30,83112,210.93
2018,OR,10.11,4181886,75.60,1.80,13.10,4.30,0.90,74722,178.68
2018,PA,7.63,12800922,76.40,10.70,7.30,3.50,0.10,271427,212.04
2018,RI,3.31,1058287,72.10,5.40,15.40,3.60,0.30,4655,43.99
2018,SC,10.58,5084156,63.60,26.80,5.70,1.50,0.20,99283,195.28
2018,SD,9.71,878698,82.30,1.90,3.60,1.20,8.60,31134,354.32
2018,TN,10.15,6771631,73.90,16.60,5.40,1.80,0.20,121140,178.89
2018,TX,7.24,28628666,41.90,11.80,39.40,4.80,0.30,725368,253.37
2018,UT,10.13,3153550,78.30,1.20,14.00,2.40,1.00,93440,296.30
2018,VT,11.05,624358,92.80,1.20,1.90,1.80,0.30,7716,123.58
2018,VA,7.98,8501286,61.70,18.80,9.30,6.40,0.20,356963,419.89
2018,WA,7.07,7523869,68.60,3.50,12.70,8.50,1.00,119829,159.27
2018,WV,13.00,1804291,92.00,3.90,1.30,0.80,0.10,41651,230.84
2018,WI,7.87,5807406,81.20,6.30,6.90,2.70,0.80,79639,137.13
2018,WY,14.86,577601,84.00,0.90,10.00,0.80,2.10,134050,2320.81
2019,AL,11.31,4903185,65.50,26.70,4.10,1.30,0.50,168265,343.17
2019,AK,15.23,731545,60.60,2.90,7.00,6.60,14.20,20520,280.50
2019,AZ,10.89,7278717,54.70,4.10,31.40,3.20,3.90,204817,281.39
2019,AR,11.08,3017804,72.30,15.20,7.40,1.60,0.60,108801,360.53
2019,CA,4.06,39512223,37.00,5.50,39.10,14.40,0.40,376666,95.33
2019,CO,11.06,5758736,68.20,3.90,21.50,3.10,0.60,112691,195.69
2019,CT,3.08,3565287,66.70,9.90,16.10,4.50,0.20,74877,210.02
2019,DE,6.83,973764,62.20,21.50,9.30,4.00,0.20,5281,54.23
2019,DC,,705749,36.50,45.30,11.00,4.00,0.20,59832,847.78
2019,FL,8.11,21477737,53.80,15.40,25.60,2.80,0.20,432581,201.41
2019,GA,8.45,10617423,52.60,31.10,9.60,3.90,0.20,225993,212.85
2019,HI,2.59,1415872,21.80,1.60,10.50,37.30,0.10,8665,61.20
2019,ID,12.77,1787065,82.00,0.60,12.40,1.30,1.10,58797,329.01
2019,IL,3.95,12671821,61.20,14.00,17.20,5.40,0.10,147698,116.56
2019,IN,8.91,6732219,79.20,9.20,6.90,2.20,0.10,133594,198.44
2019,IA,7.27,3155070,85.90,3.30,5.90,2.60,0.20,36540,115.81
2019,KS,8.84,2913314,75.90,5.50,11.90,2.90,0.60,54409,186.76
2019,KY,11.16,4467673,84.60,8.00,3.50,1.40,0.20,93719,209.77
2019,LA,9.40,4648794,58.50,32.10,5.20,1.80,0.50,116398,250.38
2019,ME,8.41,1344212,93.40,1.20,1.60,1.10,0.60,17410,129.52
2019,MD,4.17,6045680,50.70,29.40,10.10,6.40,0.20,128289,212.20
2019,MA,2.06,6892503,71.50,7.00,11.80,6.60,0.10,39886,57.87
2019,MI,7.22,9986857,75.00,13.60,5.10,3.10,0.50,83355,83.46
2019,MN,6.01,5639632,79.90,6.40,5.30,4.90,1.00,98585,174.81
2019,MS,8.97,2976149,56.60,37.90,2.90,0.90,0.40,52346,175.89
2019,MO,10.67,6137428,79.40,11.40,4.20,2.00,0.30,88270,143.82
2019,MT,15.54,1068778,86.30,0.40,3.70,0.70,5.90,23476,219.65
2019,NE,6.08,1934408,79.00,4.50,10.90,2.40,0.70,29753,153.81
2019,NV,11.36,3080156,48.80,8.90,28.80,8.30,0.90,96822,314.34
2019,NH,9.21,1359711,90.30,1.30,3.80,2.70,0.10,59341,436.42
2019,NJ,1.97,8882190,54.80,12.80,20.40,9.80,0.10,90217,101.57
2019,NM,11.68,2096829,37.40,1.80,48.80,1.30,8.80,105836,504.74
2019,NY,2.48,19453561,55.10,14.30,19.20,8.70,0.20,82917,42.62
2019,NC,7.77,10488084,63.00,21.20,9.40,2.90,1.10,181209,172.78
2019,ND,9.90,762062,84.40,3.00,3.50,1.70,5.40,19720,258.77
2019,OH,7.97,11689100,78.90,12.20,3.70,2.20,0.20,175819,150.41
2019,OK,13.18,3956971,65.60,7.20,10.60,2.10,7.30,83112,210.04
2019,OR,10.11,4217737,75.60,1.80,13.10,4.30,0.90,74722,177.16
