Police_Dept,County,City,State,officers_per_10k_pop,tot_officers,tot_employees_per_10k,tot_employees,Year
Washington,NA,NA,DC,56.9,3826,66.7,4487,2015
Wilmington,New Castle,Ardencroft,DE,43.4,313,52,375,2015
Wilmington,New Castle,Pike Creek,DE,43.4,313,52,375,2015
Wilmington,New Castle,Greenville,DE,43.4,313,52,375,2015
Wilmington,New Castle,Elsmere,DE,43.4,313,52,375,2015
Wilmington,New Castle,Bellefonte,DE,43.4,313,52,375,2015
Wilmington,New Castle,Wilmington Manor,DE,43.4,313,52,375,2015
Wilmington,New Castle,New Castle,DE,43.4,313,52,375,2015
Wilmington,New Castle,Newport,DE,43.4,313,52,375,2015
Wilmington,New Castle,Edgemoor,DE,43.4,313,52,375,2015
Wilmington,New Castle,Townsend,DE,43.4,313,52,375,2015
Wilmington,New Castle,North Star,DE,43.4,313,52,375,2015
Wilmington,New Castle,Middletown,DE,43.4,313,52,375,2015
Wilmington,New Castle,Bear,DE,43.4,313,52,375,2015
Wilmington,New Castle,Wilmington,DE,43.4,313,52,375,2015
Wilmington,New Castle,Pike Creek Valley,DE,43.4,313,52,375,2015
Wilmington,New Castle,Glasgow,DE,43.4,313,52,375,2015
Wilmington,New Castle,Odessa,DE,43.4,313,52,375,2015
Wilmington,New Castle,St. Georges,DE,43.4,313,52,375,2015
Wilmington,New Castle,Ardentown,DE,43.4,313,52,375,2015
Wilmington,New Castle,Arden,DE,43.4,313,52,375,2015
Wilmington,New Castle,Brookside,DE,43.4,313,52,375,2015
Wilmington,New Castle,Claymont,DE,43.4,313,52,375,2015
Wilmington,New Castle,Newark,DE,43.4,313,52,375,2015
Wilmington,New Castle,Delaware City,DE,43.4,313,52,375,2015
Wilmington,New Castle,Hockessin,DE,43.4,313,52,375,2015
Baltimore,NA,NA,MD,42.6,2646,47.6,2960,2015
New York,NA,NA,NY,41.4,35395,58.9,50366,2015
Philadelphia,Philadelphia,Philadelphia,PA,40.9,6413,46.1,7229,2015
Birmingham,Jefferson,Irondale,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Concord,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Trussville,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,West Jefferson,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Rock Creek,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Warrior,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,McDonald Chapel,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Gardendale,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Sylvan Springs,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Birmingham,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Tarrant,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Lipscomb,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Fairfield,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Midfield,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Argo,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Hoover,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Mountain Brook,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Center Point,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Grayson Valley,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Kimberly,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Adamsville,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Clay,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Brighton,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Maytown,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Pleasant Grove,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Vestavia Hills,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Leeds,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Minor,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Edgewater,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Forestdale,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Hueytown,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Fultondale,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Mulga,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Cardiff,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Bessemer,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Brookside,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Pinson,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Morris,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Mount Olive,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Graysville,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Homewood,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,Trafford,AL,39.5,838,51.9,1102,2015
Birmingham,Jefferson,North Johns,AL,39.5,838,51.9,1102,2015
St. Louis,NA,NA,MO,38.8,1230,55.4,1757,2015
Atlanta,Fulton,Hapeville,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Palmetto,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Johns Creek,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Chattahoochee Hills,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Roswell,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Alpharetta,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,College Park,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,East Point,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Fairburn,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Milton,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Union City,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Mountain Park,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Atlanta,GA,38.3,1781,47.7,2218,2015
Atlanta,Fulton,Sandy Springs,GA,38.3,1781,47.7,2218,2015
Newark,Essex,Upper Montclair,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Essex Fells,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Brookdale,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,East Orange,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Silver Lake,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Newark,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Caldwell,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Glen Ridge,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Roseland,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,North Caldwell,NJ,36.8,1033,42.8,1203,2015
Newark,Essex,Short Hills,NJ,36.8,1033,42.8,1203,2015
Daytona Beach,Volusia,DeBary,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,West DeLand,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Glencoe,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Seville,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Edgewater,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,De Leon Springs,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Lake Helen,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Daytona Beach,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Ponce Inlet,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Daytona Beach Shores,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Port Orange,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Orange City,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Ormond-by-the-Sea,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Deltona,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,DeLand Southwest,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,North DeLand,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Samsula-Spruce Creek,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Ormond Beach,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,DeLand,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Oak Hill,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,New Smyrna Beach,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Holly Hill,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,South Daytona,FL,34.8,221,41.6,264,2015
Daytona Beach,Volusia,Pierson,FL,34.8,221,41.6,264,2015
Rochester,Monroe,Brockport,NY,34,713,39.7,834,2015
Rochester,Monroe,Honeoye Falls,NY,34,713,39.7,834,2015
Rochester,Monroe,North Gates,NY,34,713,39.7,834,2015
Rochester,Monroe,Churchville,NY,34,713,39.7,834,2015
Rochester,Monroe,Webster,NY,34,713,39.7,834,2015
Rochester,Monroe,Fairport,NY,34,713,39.7,834,2015
Rochester,Monroe,Pittsford,NY,34,713,39.7,834,2015
Rochester,Monroe,Rochester,NY,34,713,39.7,834,2015
Rochester,Monroe,East Rochester,NY,34,713,39.7,834,2015
Rochester,Monroe,Spencerport,NY,34,713,39.7,834,2015
Rochester,Monroe,Hilton,NY,34,713,39.7,834,2015
Rochester,Monroe,Scottsville,NY,34,713,39.7,834,2015
Rochester,Ulster,Cragsmoor,NY,34,713,39.7,834,2015
Rochester,Ulster,Lincoln Park,NY,34,713,39.7,834,2015
Rochester,Ulster,Accord,NY,34,713,39.7,834,2015
Rochester,Ulster,Watchtower,NY,34,713,39.7,834,2015
Rochester,Ulster,Ellenville,NY,34,713,39.7,834,2015
Rochester,Ulster,Port Ewen,NY,34,713,39.7,834,2015
Rochester,Ulster,Rosendale Hamlet,NY,34,713,39.7,834,2015
Rochester,Ulster,Zena,NY,34,713,39.7,834,2015
Rochester,Ulster,West Hurley,NY,34,713,39.7,834,2015
Rochester,Ulster,Saugerties,NY,34,713,39.7,834,2015
Rochester,Ulster,Clintondale,NY,34,713,39.7,834,2015
Rochester,Ulster,New Paltz,NY,34,713,39.7,834,2015
Rochester,Ulster,Marlboro,NY,34,713,39.7,834,2015
Rochester,Ulster,Kerhonkson,NY,34,713,39.7,834,2015
Rochester,Ulster,Tillson,NY,34,713,39.7,834,2015
Rochester,Ulster,Pine Hill,NY,34,713,39.7,834,2015
Rochester,Ulster,Stone Ridge,NY,34,713,39.7,834,2015
Rochester,Ulster,Hillside,NY,34,713,39.7,834,2015
Rochester,Ulster,East Kingston,NY,34,713,39.7,834,2015
Rochester,Ulster,Malden-on-Hudson,NY,34,713,39.7,834,2015
Rochester,Ulster,Shokan,NY,34,713,39.7,834,2015
Rochester,Ulster,Lake Katrine,NY,34,713,39.7,834,2015
Rochester,Ulster,Phoenicia,NY,34,713,39.7,834,2015
Rochester,Ulster,Rifton,NY,34,713,39.7,834,2015
Rochester,Ulster,Saugerties South,NY,34,713,39.7,834,2015
Rochester,Ulster,Glasco,NY,34,713,39.7,834,2015
