Variable,"IRR (2.5%,97.5%)",P-Value
(Intercept),"3.31E-08 (1.75E-21,629488.7)",0.26953
Year,"0.99860 (0.98360,1.01390)",0.8588
Black Population Percentage,"0.96370 (0.95830,0.96900)",7.53E-39
Registered Firearms per 10k,"1.00052 (1.00035,1.00067)",2.24E-10
Population Density,"0.99996 (0.99990,1.00001)",0.164
Population Diversity,"1.01660 (1.01270,1.02060)",8.69E-17
Decision Made on Officer (Charged or Justified),"0.99610 (0.99190,1.00009)",0.06076
Urbanization Index,"0.96140 (0.95720,0.96570)",7.12E-69
Male Percentage in Population,"1.08300 (1.01610,1.15380)",0.01394
Percentage of state population in the age group 20-45 years,"1.12230 (1.09590,1.14950)",2.47E-21
Crime Index per 10k,"1.00093 (1.00079,1.00110)",2.76E-41
Police expenditure as a percentage of total,"1.41720 (1.34770,1.49030)",4.70E-42
