Year,State,Count,Victim_median_Age,Population,Black_pop_perc,Firearm_10k,pop_density,pop_diversity,official_action_taken,Urbanization_Index,Male_pop_perc,State_median_age,State_median_age20_45_perc,Crime_10k,Pol_frac_total
2015,AK,4,33,737498,2.9,278.24,1.29,60,0,66,51,34.53333333,36.01475375,885.6,2.669
2015,AL,17,40,4852347,26.7,346.77,96.59,50,0,59,48,39.16666667,33.67261151,1025.57,3.077
2015,AR,5,36,2978048,15.2,365.34,58.07,45,20,56.2,49,38.23333333,33.49822138,785.01,2.926
2015,AZ,42,41,6829676,4.1,299.89,63.36,60,0,89.8,49,37.83333333,34.19287998,766.26,5.094
2015,CA,190,32,38918045,5.5,96.78,255.09,69,1.28,95,49,36.7,36.74615608,701.41,4
2015,CO,29,34,5450623,3.9,206.75,55.25,49,13.51,86.2,50,36.86666667,36.68996058,712.57,3.948
2015,CT,2,42,3587122,9.9,208.74,738.46,52,0,88,49,40.96666667,32.36850721,236.95,3.49
2015,DC,4,34.5,675400,45.3,885.88,11595.57,65,0,100,48,34.03333333,46.65845767,1143.75,4.719
2015,DE,3,35,941252,21.5,56.11,498.93,56,0,83.3,48,40.66666667,32.68184218,925.43,3.792
2015,FL,61,34,20209042,15.4,214.05,400.72,62,4.29,91.2,48,42.2,32.58892273,1044.51,5.276
2015,GA,29,27,10178447,31.1,222.03,184.01,62,2.56,75.1,48,36.83333333,35.42470415,1068.31,3.853
2015,HI,2,42.5,1422052,1.6,60.93,221.1,80,50,91.9,49,39.23333333,33.20517813,673.22,3.492
2015,IA,5,30,3120960,3.3,117.08,56.62,26,0,64,50,38.26666667,32.97271723,924.3,2.493
2015,ID,7,31,1651059,0.6,356.12,21.44,31,0,70.6,50,36.53333333,33.23662365,499.99,3.594
2015,IL,21,27,12858913,14,114.86,229.31,57,1.67,88.5,49,38.26666667,35.03416654,764.22,4.339
2015,IN,19,34,6608422,9.2,202.16,187.18,36,5.26,72.4,49,37.8,33.89289243,1089.43,2.449
2015,KS,9,36.5,2909011,5.5,187.04,35.61,41,8.33,74.2,49,36.83333333,33.56002099,901.8,3.218
2015,KY,16,40,4425976,8,211.75,113.38,28,0,58.4,49,38.9,33.66590874,544.62,2.055
2015,LA,27,34.5,4664628,32.1,249.53,107.97,55,14.81,73.2,48,37.1,34.98928987,1189.19,3.85
2015,MA,9,42.5,6794228,7,58.71,886.95,47,5.56,92,49,39.46666667,34.82839783,485.75,3.366
2015,MD,15,30,5985562,29.4,214.33,625.08,64,0,87.2,48,38.83333333,34.3432688,991.58,4.438
2015,ME,2,42,1328262,1.2,131.07,43.47,13,0,38.7,49,44.83333333,30.31597016,820.83,2.443
2015,MI,16,25,9931715,13.6,83.93,176.93,42,2.5,74.6,49,39.8,32.817955,842.67,3.051
2015,MN,12,31,5482032,6.4,179.83,70.81,35,19.05,73.3,50,38.1,33.85116466,641.01,3.525
2015,MO,21,35,6071732,11.4,145.38,89.34,35,0,70.4,49,38.7,33.52401399,1207.64,3.828
2015,MS,8,35,2988471,37.9,175.16,63.65,54,0,49.4,48,37.63333333,33.83304334,878.85,2.908
2015,MT,4,38,1030475,0.4,227.82,7.34,25,0,55.9,50,39.93333333,32.28878747,583.3,3.876
2015,NC,22,41.5,10031646,21.2,180.64,214.79,55,12.5,66.1,48,38.86666667,33.91381417,788.46,3.95
2015,ND,1,31,754066,3,261.52,10.99,28,0,59.9,51,35.2,36.11483067,NA,2.12
2015,NE,8,36.5,1891277,4.5,157.32,25.2,36,25,73.1,50,36.6,33.72325614,761.29,2.805
2015,NH,3,42,1336350,1.3,444.05,151.57,18,0,60.3,50,42.93333333,31.73815906,286.14,3.936
2015,NJ,15,36,8867949,12.8,101.73,1219.9,63,0,94.7,49,39.96666667,33.42772063,647.7,3.746
2015,NM,20,35,2089291,1.8,506.56,17.25,61,0,77.4,49,38,33.23925997,1111.68,3.138
2015,NV,19,43,2866939,8.9,337.72,27.95,66,0,94.2,50,38.1,35.40460014,546.6,5.74
2015,NY,19,38.5,19654666,14.3,42.19,416.86,63,8,87.9,48,38.96666667,35.40245389,389.13,3.711
2015,OH,29,32,11617527,12.2,151.34,286.41,36,14.29,77.9,49,39.4,32.90164177,835.22,3.446
2015,OK,32,32,3909500,7.2,212.59,57.48,55,14,66.2,49,36.66666667,34.40219538,867.39,3.433
2015,OR,15,49,4015792,1.8,186.07,43.98,41,4,81,49,39.4,34.8624539,958.39,2.986
2015,PA,18,30,12784826,10.7,212.3,286.37,40,11.12,78.7,49,40.76666667,32.67895919,669.96,3.22
2015,SC,19,36,4891938,26.8,202.95,170.23,52,20,66.3,48,39.56666667,33.29963599,1056.76,2.943
2015,SD,3,37,853988,1.9,364.57,11.69,31,0,56.7,50,37.1,32.50686892,633.9,2.939
2015,TN,20,36,6591170,16.6,183.79,165.07,42,4.35,66.4,48,38.83333333,34.12166343,1278.77,4.111
2015,TX,100,31.5,27470056,11.8,264.06,110.59,65,2.14,84.7,49,34.73333333,36.61019164,768.12,3.566
2015,UT,10,35,2981835,1.2,313.36,38.85,37,0,90.6,50,31,37.53268143,870.08,3.048
2015,VA,18,31.5,8361808,18.8,426.9,216.46,57,11.12,75.5,48,38.36666667,34.78105316,751.43,3.372
2015,VT,1,56,625216,1.2,123.41,67.9,14,0,38.9,49,42.9,31.58310133,736.01,3.099
2015,WA,16,35,7163657,3.5,167.27,114.38,50,0,84.1,50,37.7,35.46113147,1124.18,3.012
2015,WI,11,34,5760940,6.3,138.24,107.53,33,0,70.2,50,39.56666667,32.92882735,661.15,3.564
2015,WV,10,43.5,1842050,3.9,226.11,74.76,15,10,48.7,49,42.66666667,32.10860624,781.27,2.38
2015,WY,6,39,585613,0.9,2289.05,5.9,28,0,64.8,50,37.9,34.14918395,553.33,2.545
2016,AK,7,36,741456,2.9,276.75,1.29,60,0,66,52,34.53333333,36.0047061,1132.54,2.699
2016,AL,25,35.5,4863525,26.7,345.97,96.59,50,6.9,59,48,39.16666667,33.41101856,1048.22,3.109
2016,AR,15,36,2989918,15.2,363.89,58.07,45,0,56.2,49,38.23333333,33.35888561,1105.23,2.859
2016,AZ,50,26,6941072,4.1,295.08,63.36,60,3.34,89.8,49,37.83333333,34.04194613,789.71,4.944
2016,CA,138,31,39167117,5.5,96.17,255.09,69,1.8,95,49,36.7,36.60794957,623.56,3.922
2016,CO,31,37,5539215,3.9,203.44,55.25,49,0,86.2,50,36.86666667,36.77634958,836.06,3.86
2016,CT,4,25,3578141,9.9,209.26,738.46,52,70.59,88,49,40.96666667,32.20843861,374.3,3.593
2016,DC,5,31,685815,45.3,872.42,11595.57,65,0,100,47,34.03333333,46.74029809,1156.01,4.646
2016,DE,1,25,948921,21.5,55.65,498.93,56,0,83.3,48,40.66666667,32.26324373,NA,3.566
2016,FL,60,32,20613477,15.4,209.85,400.72,62,0,91.2,49,42.2,32.40944168,899.65,5.412
2016,GA,26,26,10301890,31.1,219.37,184.01,62,13.89,75.1,48,36.83333333,35.21619422,1262.38,3.882
2016,HI,6,33,1427559,1.6,60.7,221.1,80,0,91.9,49,39.23333333,33.04045427,684.12,3.34
2016,IA,5,29,3131371,3.3,116.69,56.62,26,0,64,50,38.26666667,32.89802042,556.92,2.549
