"word","freq"
"police",117
"shot",89
"officers",84
"killed",67
"man",54
"said",52
"officer",30
"home",26
"knife",26
"allegedly",23
"one",20
"two",20
"responded",18
"gun",17
"around",15
"arrived",15
"called",15
"call",14
"refused",14
"armed",13
"fired",13
"inside",13
"reportedly",13
"deputies",12
"found",12
"vehicle",12
"deputy",11
"drop",11
"house",11
"weapon",11
"attempted",10
"fled",10
"yearold",10
"say",9
"according",8
"car",8
"fatally",8
"fire",8
"pulled",8
"stop",8
"suspect",8
"tried",8
"went",8
"acting",7
"apartment",7
"back",7
"came",7
"commands",7
"nuu",7
"people",7
"several",7
"threatened",7
"told",7
"woman",7
"approached",6
"confronted",6
"disturbance",6
"domestic",6
"handgun",6
"outside",6
"report",6
"toward",6
"another",5
"authorities",5
"carrying",5
"continued",5
"county",5
"door",5
"encountered",5
"failed",5
"hammer",5
"hand",5
"hit",5
"holding",5
"ignored",5
"ordered",5
"orders",5
"pointed",5
"reported",5
"residence",5
"restaurant",5
"scene",5
"shots",5
"vang",5
"wife",5
"also",4
"area",4
"began",4
"chau",4
"chin",4
"comply",4
"custody",4
"eventually",4
"family",4
"father",4
"fight",4
"got",4
"hands",4
"hostage",4
"later",4
"lee",4
"leg",4
"lighter",4
"malhi",4
"near",4
"nearby",4
"neighbor",4
"pigeon",4
"put",4
"ran",4
"rifle",4
"san",4
"saw",4
"shooting",4
"stabbed",4
"still",4
"troopers",4
"wang",4
"wanted",4
"warrant",4
"attacked",3
"away",3
"barricaded",3
"brothers",3
"business",3
"caught",3
"chase",3
"chased",3
"chaus",3
"claw",3
"dead",3
"doudzai",3
"driver",3
"drugs",3
"erratically",3
"firearm",3
"followed",3
"foot",3
"front",3
"grabbed",3
"head",3
"held",3
"hoang",3
"hours",3
"injured",3
"involved",3
"joseph",3
"just",3
"lan",3
"least",3
"male",3
"men",3
"mother",3
"multiple",3
"office",3
"open",3
"opened",3
"order",3
"peter",3
"received",3
"released",3
"reports",3
"rescue",3
"running",3
"sheriffs",3
"shine",3
"shoot",3
"sin",3
"someone",3
"store",3
"stun",3
"swat",3
"take",3
"taser",3
"thi",3
"traffic",3
"using",3
"van",3
"walked",3
"across",2
"alameri",2
"alleged",2
"andrew",2
"anthony",2
"appeared",2
"arrisgado",2
"arrival",2
"arriving",2
"asked",2
"bag",2
"bank",2
"bar",2
"bat",2
"bean",2
"brandished",2
"brandishing",2
"broke",2
"brunkow",2
"caller",2
"center",2
"child",2
"confrontation",2
"correctional",2
"court",2
"details",2
"detective",2
"died",2
"discovered",2
"dispatch",2
"dispatched",2
"dog",2
"drove",2
"employees",2
"ended",2
"exit",2
"facility",2
"find",2
"fluid",2
"following",2
"garage",2
"gate",2
"going",2
"gunfire",2
"gunman",2
"highway",2
"homeless",2
"honda",2
"hospital",2
"incapacitate",2
"including",2
"investigate",2
"investigating",2
"investigators",2
"jeffrey",2
"johnson",2
"kana",2
"kill",2
"kong",2
"kongvongxay",2
"kyle",2
"left",2
"lesslethal",2
"lights",2
"lot",2
"lunged",2
"machete",2
"member",2
"mercado",2
"minutes",2
"moving",2
"mung",2
"nam",2
"nguyen",2
"nicolas",2
"nitro",2
"object",2
"ohio",2
"onto",2
"parking",2
"patrol",2
"person",2
"pocket",2
"possibly",2
"produced",2
"pursued",2
"pursuit",2
"reached",2
"regarding",2
"repeatedly",2
"responding",2
"revolver",2
"road",2
"round",2
"saechao",2
"safe",2
"saying",2
"scissors",2
"sent",2
"serve",2
"serving",2
"sgt",2
"shield",2
"shocked",2
"shotgun",2
"small",2
"spoke",2
"stabbing",2
"standoff",2
"started",2
"state",2
"stolen",2
"stopped",2
"stormed",2
"street",2
"subject",2
"suffering",2
"surrounded",2
"suspiciously",2
"taken",2
"team",2
"threatening",2
"three",2
"treated",2
"unit",2
"university",2
"upon",2
"vehicles",2
"violation",2
"waist",2
"warrants",2
"white",2
"widemann",2
"witnesses",2
"yet",2
"aaron",1
"abusive",1
"accelerant",1
"ackhavong",1
"advanced",1
"aggravated",1
"aggressively",1
"aikahi",1
"ali",1
"alivewhen",1
"allege",1
"alley",1
"alongside",1
"andy",1
"angry",1
"anovath",1
"anthonys",1
"apartments",1
"apparent",1
"appearance",1
"arab",1
"arco",1
"argument",1
"arm",1
"army",1
"arrest",1
"arrested",1
"asian",1
"asleep",1
"assailant",1
"assist",1
"attack",1
"attacking",1
"attempt",1
"attorney",1
"avenue",1
"azim",1
"balcony",1
"banging",1
"barber",1
"barricading",1
"baseball",1
"baton",1
"battle",1
"beach",1
"became",1
"become",1
"bedroom",1
"behavior",1
"behind",1
"believed",1
"belonging",1
"bennett",1
"bert",1
"bicycle",1
"bladed",1
"block",1
"blood",1
"bobo",1
"bottle",1
"boulevard",1
"box",1
"brandon",1
"briefed",1
"bring",1
"broken",1
"brotherinlaw",1
"calls",1
"calm",1
"cameran",1
"camp",1
"campbell",1
"carport",1
"cars",1
"case",1
"charge",1
"charged",1
"charity",1
"charlottemecklenburg",1
"check",1
"chiasher",1
"chicken",1
"children",1
"cho",1
"christopher",1
"church",1
"citizen",1
"city",1
"civic",1
"clarksville",1
"clayton",1
"cleaning",1
"cleaver",1
"climbed",1
"close",1
"cmason",1
"collins",1
"colorado",1
"commit",1
"communicate",1
"community",1
"complaint",1
"complex",1
"condo",1
"condominium",1
"confronting",1
"considered",1
"contact",1
"contacted",1
"control",1
"convince",1
"cooperate",1
"cotter",1
"covered",1
"credo",1
"creek",1
"crews",1
"criminal",1
"crossed",1
"curry",1
"cut",1
"dang",1
"davis",1
"death",1
"defiant",1
"demented",1
"department",1
"deputys",1
"despondent",1
"device",1
"diego",1
"direction",1
"dispatcher",1
"disputant",1
"dispute",1
"divorce",1
"dowdy",1
"dps",1
"draw",1
"drinking",1
"drive",1
"driving",1
"drugrelated",1
"due",1
"dung",1
"dustin",1
"econolodge",1
"efforts",1
"eid",1
"eight",1
"either",1
"electronic",1
"eleven",1
"emerged",1
"emirates",1
"encounter",1
"encountering",1
"ensued",1
"entered",1
"environments",1
"erupted",1
"escalating",1
"ethan",1
"evans",1
"everest",1
"exchanged",1
"face",1
"fakhri",1
"felony",1
"female",1
"fence",1
"fighting",1
"first",1
"five",1
"flee",1
"fleeing",1
"flipped",1
"foam",1
"follow",1
"fong",1
"force",1
"fort",1
"four",1
"francisco",1
"furtive",1
"gardens",1
"gavalynn",1
"gave",1
"general",1
"geneva",1
"girlfriend",1
"gone",1
"grocery",1
"ground",1
"guard",1
"gudino",1
"gunn",1
"gunshots",1
"gurolski",1
"halfhour",1
"handcuffs",1
"harassing",1
"harm",1
"hazard",1
"health",1
"heard",1
"help",1
"hiding",1
"hogan",1
"holiday",1
"hong",1
"hour",1
"however",1
"hudson",1
"hudsonaurora",1
"hung",1
"hwy",1
"ignoring",1
"illegal",1
"immediately",1
"impact",1
"incident",1
"influence",1
"injuries",1
"inn",1
"instructed",1
"intake",1
"interrogate",1
"interstate",1
"investigator",1
"invited",1
"irrational",1
"island",1
"issues",1
"jack",1
"jail",1
"jason",1
"jim",1
"johns",1
"juan",1
"jungle",1
"kahakai",1
"kamehameha",1
"kanas",1
"kaneshiro",1
"kanwarbir",1
"keep",1
"keith",1
"kenton",1
"kidnapper",1
"killer",1
"killing",1
"king",1
"knew",1
"knifepoint",1
"knifewielding",1
"knives",1
"kyee",1
"lacey",1
"lake",1
"lans",1
"larry",1
"last",1
"lau",1
"leaning",1
"learned",1
"led",1
"lehad",1
"let",1
"lifethreatening",1
"light",1
"liquor",1
"lit",1
"little",1
"live",1
"loaded",1
"lock",1
"london",1
"long",1
"lopez",1
"loudon",1
"lower",1
"lue",1
"luth",1
"made",1
"magnum",1
"mahuka",1
"make",1
"males",1
"manchester",1
"manner",1
"mans",1
"maraschiello",1
"marc",1
"marked",1
"maurice",1
"mcdonalds",1
"measures",1
"meat",1
"medical",1
"members",1
"mental",1
"methods",1
"metro",1
"michael",1
"midnight",1
"might",1
"minh",1
"misfired",1
"mohammad",1
"moved",1
"movements",1
"mubarak",1
"murder",1
"named",1
"nan",1
"nasser",1
"national",1
"negotiated",1
"neighborhood",1
"neighbors",1
"next",1
"nitzky",1
"noise",1
"nonlethal",1
"note",1
"noticed",1
"nyung",1
"oahu",1
"obey",1
"occupant",1
"occupants",1
"occupied",1
"occurred",1
"officials",1
"oswald",1
"owner",1
"owners",1
"pair",1
"parents",1
"parked",1
"partner",1
"passenger",1
"patrons",1
"pen",1
"perimeter",1
"phumee",1
"phung",1
"picked",1
"pickup",1
"pin",1
"pistol",1
"place",1
"placed",1
"point",1
"pointing",1
"pol",1
"possession",1
"pouring",1
"prak",1
"precipitated",1
"probate",1
"probation",1
"pronounced",1
"property",1
"protective",1
"ptsd",1
"pushed",1
"question",1
"quyen",1
"raad",1
"raised",1
"rammed",1
"rant",1
"rape",1
"rear",1
"recordings",1
"reenter",1
"release",1
"remaining",1
"removed",1
"request",1
"reservation",1
"reserve",1
"reservist",1
"residents",1
"responders",1
"response",1
"rest",1
"restraining",1
"retreated",1
"retreating",1
"returned",1
"rice",1
"riflescope",1
"right",1
"riteaid",1
"robbery",1
"robert",1
"robin",1
"rock",1
"roger",1
"ronnie",1
"rothschild",1
"rounds",1
"route",1
"rude",1
"run",1
"rushed",1
"ryan",1
"saif",1
"salman",1
"samuraitype",1
"sanchez",1
"schofield",1
"search",1
"searched",1
"seattle",1
"secondstory",1
"see",1
"services",1
"set",1
"setting",1
"sgtbuford",1
"shackles",1
"shawna",1
"shootout",1
"shop",1
"show",1
"shows",1
"shukri",1
"sideswiped",1
"single",1
"sirens",1
"sitting",1
"situation",1
"sleeping",1
"slim",1
"smith",1
"snout",1
"snowstorm",1
"soon",1
"sort",1
"sparta",1
"speaking",1
"spotted",1
"stab",1
"standing",1
"status",1
"statutory",1
"stepped",1
"stick",1
"stole",1
"struggle",1
"student",1
"subdue",1
"suicidal",1
"suicide",1
"sunny",1
"suspected",1
"suspects",1
"sweeney",1
"swing",1
"swinging",1
"swords",1
"sylasone",1
"talk",1
"taylor",1
"telling",1
"temporary",1
"theft",1
"thought",1
"threaten",1
"tirade",1
"tony",1
"took",1
"tori",1
"towards",1
"towel",1
"tracked",1
"trailhead",1
"transportation",1
"transported",1
"transporting",1
"traveled",1
"tribal",1
"trieu",1
"trooper",1
"troubled",1
"troy",1
"trying",1
"tucked",1
"turned",1
"turnpike",1
"twice",1
"uncooperative",1
"undercover",1
"unharmed",1
"united",1
"unspecified",1
"unwanted",1
"upstairs",1
"used",1
"vehicular",1
"vernchoy",1
"veteran",1
"victim",1
"video",1
"vilaysane",1
"vincent",1
"violence",1
"violent",1
"visible",1
"vue",1
"waited",1
"walking",1
"warning",1
"washburn",1
"washington",1
"watched",1
"waved",1
"western",1
"weston",1
"wifes",1
"will",1
"window",1
"withheld",1
"without",1
"wooded",1
"worked",1
"wounded",1
"wounds",1
"wrists",1
"yards",1
"yelled",1
"yia",1
"young",1
"younger",1
"zhao",1
