"word","freq"
"police",1420
"shot",1111
"officers",987
"killed",848
"officer",662
"said",560
"man",476
"gun",370
"allegedly",358
"car",312
"vehicle",287
"two",216
"fired",212
"responded",204
"home",184
"one",177
"deputies",170
"around",162
"arrived",151
"reportedly",149
"stop",149
"deputy",143
"call",142
"tried",141
"suspect",136
"found",135
"woman",133
"armed",132
"inside",127
"according",124
"called",119
"fire",117
"knife",117
"attempted",116
"killing",116
"shooting",113
"pulled",105
"fled",104
"got",101
"authorities",97
"driver",96
"apartment",94
"pointed",93
"approached",92
"chase",90
"ran",90
"weapon",90
"shots",89
"yearold",88
"began",87
"say",86
"traffic",85
"robbery",83
"handgun",82
"drop",80
"toward",80
"foot",79
"report",79
"saw",78
"person",75
"store",75
"away",74
"people",73
"opened",70
"fatally",69
"stopped",69
"back",68
"responding",68
"refused",67
"another",66
"domestic",66
"parking",66
"told",66
"gunfire",65
"reported",63
"three",63
"lot",62
"scene",61
"disturbance",57
"house",57
"went",56
"arrest",54
"driving",54
"outside",54
"several",53
"taser",52
"came",51
"details",51
"men",51
"street",51
"drove",50
"patrol",50
"county",49
"later",49
"trooper",49
"wanted",49
"door",48
"fight",48
"stolen",47
"multiple",46
"trying",46
"wounded",46
"near",45
"holding",44
"warrant",44
"reports",43
"returned",43
"spotted",43
"johnson",42
"residence",42
"sheriffs",42
"complex",41
"crashed",41
"area",40
"followed",40
"suspects",40
"confronted",39
"died",39
"hit",39
"investigating",39
"received",39
"times",39
"withheld",38
"firearm",37
"involved",37
"released",37
"struck",37
"threatened",37
"turned",37
"firing",36
"four",36
"took",36
"encountered",35
"least",35
"passenger",35
"precipitated",35
"someone",35
"commands",34
"front",34
"get",34
"running",34
"vehicles",34
"walking",34
"made",33
"nearby",33
"started",33
"chased",32
"following",32
"left",32
"pursuit",32
"williams",32
"behind",31
"charged",31
"family",31
"hand",31
"ordered",31
"dead",30
"murder",30
"rifle",30
"subject",29
"truck",29
"assault",28
"death",28
"exchange",28
"injured",28
"mother",28
"station",28
"suspected",28
"alleged",27
"immediately",27
"incident",27
"smith",27
"standoff",27
"struggle",27
"bank",26
"exchanged",26
"jones",26
"office",26
"run",26
"stabbed",26
"threatening",26
"victim",26
"attacked",25
"dog",25
"ended",25
"entered",25
"failed",25
"hospital",25
"road",25
"robinson",25
"second",25
"suspicious",25
"attempting",24
"description",24
"girlfriend",24
"heard",24
"led",24
"parked",24
"security",24
"serve",24
"state",24
"used",24
"caught",23
"comply",23
"continued",23
"first",23
"hitting",23
"suv",23
"time",23
"walked",23
"also",22
"believed",22
"carrying",22
"confrontation",22
"gas",22
"gunpoint",22
"hall",22
"hostage",22
"hours",22
"michael",22
"orders",22
"point",22
"wife",22
"apartments",21
"building",21
"investigation",21
"pursued",21
"reached",21
"stabbing",21
"apparently",20
"avenue",20
"broke",20
"christopher",20
"david",20
"five",20
"flee",20
"force",20
"search",20
"waistband",20
"west",20
"appeared",19
"contact",19
"custody",19
"hands",19
"ignored",19
"james",19
"pull",19
"put",19
"regarding",19
"short",19
"side",19
"striking",19
"violence",19
"davis",18
"department",18
"gunshot",18
"head",18
"just",18
"male",18
"minutes",18
"pistol",18
"seen",18
"shortly",18
"still",18
"weapons",18
"brown",17
"burglary",17
"find",17
"ground",17
"north",17
"pointing",17
"robbed",17
"robberies",17
"shootout",17
"son",17
"white",17
"black",16
"carjacking",16
"cars",16
"city",16
"didnt",16
"direction",16
"dispute",16
"earlier",16
"erratically",16
"eventually",16
"female",16
"green",16
"hotel",16
"joseph",16
"located",16
"make",16
"members",16
"progress",16
"pursuing",16
"response",16
"restaurant",16
"room",16
"scott",16
"take",16
"anderson",15
"anthony",15
"child",15
"grabbed",15
"help",15
"highway",15
"marshals",15
"narcotics",15
"shotgun",15
"south",15
"upon",15
"warrants",15
"witnesses",15
"accelerated",14
"although",14
"asked",14
"crash",14
"drive",14
"drug",14
"fleeing",14
"fought",14
"going",14
"held",14
"identified",14
"initially",14
"injuries",14
"investigators",14
"involving",14
"jumped",14
"mental",14
"neighborhood",14
"officials",14
"sergeant",14
"serving",14
"shoot",14
"standing",14
"swat",14
"task",14
"thomas",14
"alley",13
"barricaded",13
"block",13
"business",13
"calls",13
"center",13
"check",13
"children",13
"convenience",13
"day",13
"engaged",13
"ensued",13
"exited",13
"happened",13
"investigate",13
"large",13
"leave",13
"order",13
"park",13
"seat",13
"situation",13
"struggled",13
"taken",13
"tasered",13
"violation",13
"walker",13
"whether",13
"charles",12
"chasing",12
"dispatched",12
"fatal",12
"group",12
"including",12
"jackson",12
"motel",12
"onto",12
"open",12
"saying",12
"searching",12
"twice",12
"unarmed",12
"van",12
"video",12
"way",12
"window",12
"acting",11
"agents",11
"allen",11
"altercation",11
"approximately",11
"arrested",11
"arrival",11
"backup",11
"baton",11
"break",11
"come",11
"conducting",11
"daughter",11
"end",11
"fell",11
"gray",11
"injuring",11
"intersection",11
"interstate",11
"kill",11
"knives",11
"leaving",11
"lunged",11
"machete",11
"noticed",11
"occurred",11
"possible",11
"raised",11
"receiving",11
"rob",11
"silver",11
"troopers",11
"turner",11
"undercover",11
"within",11
"advanced",10
"attempt",10
"bat",10
"battle",10
"body",10
"connection",10
"cruiser",10
"driven",10
"encounter",10
"felony",10
"law",10
"leg",10
"louis",10
"mall",10
"mans",10
"member",10
"metal",10
"offduty",10
"patrolling",10
"produced",10
"rammed",10
"reverse",10
"says",10
"show",10
"showed",10
"stun",10
"subdue",10
"team",10
"thompson",10
"unit",10
"use",10
"violent",10
"ward",10
"womans",10
"women",10
"working",10
"wound",10
"across",9
"arm",9
"bass",9
"boy",9
"bus",9
"chest",9
"chief",9
"clerk",9
"collins",9
"coming",9
"control",9
"crime",9
"drew",9
"drivers",9
"drugs",9
"enforcement",9
"exit",9
"face",9
"ford",9
"getting",9
"guard",9
"gunshots",9
"harris",9
"hiding",9
"homicide",9
"john",9
"knocked",9
"leading",9
"lee",9
"matched",9
"matching",9
"may",9
"medical",9
"neck",9
"neighbors",9
"news",9
"night",9
"owens",9
"parish",9
"pickup",9
"richard",9
"robbing",9
"robertson",9
"round",9
"scuffle",9
"suffered",9
"taylor",9
"vest",9
"william",9
"able",8
"activity",8
"along",8
"argument",8
"arriving",8
"assaulted",8
"atkinson",8
"bailey",8
"became",8
"bicycle",8
"brandished",8
"brian",8
"brief",8
"broken",8
"carjacked",8
"church",8
"claim",8
"complaint",8
"days",8
"deployed",8
"distance",8
"east",8
"father",8
"fence",8
"floor",8
"guns",8
"hicks",8
"hour",8
"india",8
"local",8
"looking",8
"manager",8
"martin",8
"miles",8
"negotiators",8
"phone",8
"pocket",8
"possession",8
"property",8
"questioning",8
"replica",8
"richmond",8
"rouge",8
"routine",8
"sent",8
"six",8
"terry",8
"third",8
"thought",8
"timothy",8
"towards",8
"treated",8
"washington",8
"waving",8
"windows",8
"witness",8
"wounding",8
"wounds",8
"yard",8
"agent",7
"aggravated",7
"aimed",7
"alexander",7
"assaulting",7
"attacking",7
"ave",7
"backyard",7
"benjamin",7
"bennett",7
"blake",7
"brooks",7
"bullet",7
"buy",7
"caller",7
"carjack",7
"carter",7
"clark",7
"clemmons",7
"deputys",7
"detectives",7
"dodge",7
"driveway",7
"eric",7
"follow",7
"forced",7
"girl",7
"hill",7
"hostages",7
"inn",7
"license",7
"long",7
"matthew",7
"met",7
"mile",7
"money",7
"narrative",7
"neal",7
"partner",7
"patrick",7
"peters",7
"previous",7
"question",7
"reach",7
"recovered",7
"release",7
"right",7
"robber",7
"rodney",7
"rounds",7
"rundle",7
"semiautomatic",7
"service",7
"set",7
"shocked",7
"shoplifting",7
"sitting",7
"stole",7
"struggling",7
"surrender",7
"threats",7
"tracked",7
"tree",7
"uniformed",7
"university",7
"unmarked",7
"valley",7
"walgreens",7
"walmart",7
"wearing",7
"willis",7
"without",7
"abandoned",6
"accused",6
"agencies",6
"air",6
"bar",6
"battery",6
"blocks",6
"brandishing",6
"bystander",6
"cash",6
"chevrolet",6
"clear",6
"community",6
"cooperate",6
"cop",6
"cops",6
"crowd",6
"denkins",6
"determined",6
"disarm",6
"early",6
"edwards",6
"eight",6
"employee",6
"failing",6
"fields",6
"fighting",6
"flagged",6
"garage",6
"gave",6
"glass",6
"graves",6
"gunfight",6
"heights",6
"high",6
"holmes",6
"ill",6
"individual",6
"information",6
"jacksonville",6
"jerome",6
"jordan",6
"joshua",6
"kenneth",6
"kitchen",6
"leon",6
"lewis",6
"loud",6
"making",6
"mentally",6
"metro",6
"moore",6
"moved",6
"moving",6
"name",6
"new",6
"next",6
"object",6
"outstanding",6
"pair",6
"pellet",6
"pharmacy",6
"picked",6
"pittsburgh",6
"placed",6
"plate",6
"porch",6
"reed",6
"reporting",6
"resident",6
"safety",6
"series",6
"shooter",6
"sought",6
"spoke",6
"squad",6
"stevens",6
"stewart",6
"surrounded",6
"surveillance",6
"talk",6
"talking",6
"tenant",6
"thats",6
"tillman",6
"town",6
"unrelated",6
"veteran",6
"wallace",6
"well",6
"will",6
"wilson",6
"woods",6
"aaron",5
"accident",5
"antonio",5
"apprehend",5
"arguing",5
"assist",5
"attempts",5
"austin",5
"baby",5
"barber",5
"barnes",5
"baseball",5
"bell",5
"bostick",5
"boyd",5
"branch",5
"brandon",5
"breakin",5
"bulletproof",5
"bullets",5
"charges",5
"chicago",5
"claimed",5
"clothes",5
"college",5
"condition",5
"cooper",5
"corey",5
"couple",5
"covered",5
"crashing",5
"crimes",5
"deal",5
"denver",5
"derrick",5
"discharged",5
"displayed",5
"disputed",5
"doors",5
"downtown",5
"dropped",5
"emergency",5
"entering",5
"erratic",5
"escape",5
"escaped",5
"evans",5
"facility",5
"fake",5
"fbi",5
"feet",5
"florida",5
"gaines",5
"graham",5
"griffin",5
"handcuffed",5
"health",5
"heavily",5
"henderson",5
"henry",5
"housing",5
"hunt",5
"intoxicated",5
"item",5
"jarvis",5
"kevin",5
"kicked",5
"lane",5
"little",5
"location",5
"lost",5
"marshall",5
"mccain",5
"mccrae",5
"mcvae",5
"meadows",5
"mobile",5
"naked",5
"neighbor",5
"norris",5
"northbound",5
"obey",5
"occupants",5
"others",5
"parole",5
"perry",5
"phillip",5
"physical",5
"place",5
"pole",5
"possibly",5
"pronounced",5
"public",5
"ray",5
"reason",5
"reasons",5
"red",5
"refusing",5
"requested",5
"revolver",5
"richardson",5
"riding",5
"rock",5
"ronald",5
"ruffin",5
"ryan",5
"sanders",5
"saturday",5
"screaming",5
"sedan",5
"shows",5
"sign",5
"single",5
"spike",5
"stab",5
"steal",5
"stopping",5
"stores",5
"supermarket",5
"sword",5
"taking",5
"teen",5
"texas",5
"theft",5
"traveled",5
"try",5
"unharmed",5
"ups",5
"violations",5
"weeks",5
"welfare",5
"wells",5
"westbound",5
"wilburn",5
"windshield",5
"account",4
"additional",4
"aggressive",4
"aggressively",4
"alcohol",4
"alert",4
"andrew",4
"angelo",4
"apparent",4
"arnold",4
"arresting",4
"asking",4
"auto",4
"avenues",4
"bag",4
"ballard",4
"bedroom",4
"believe",4
"blood",4
"blue",4
"boulevard",4
"bridge",4
"brother",4
"bruner",4
"campfield",4
"causing",4
"central",4
"claiming",4
"club",4
"columbia",4
"columbus",4
"commanded",4
"conduct",4
"cooksey",4
"corporal",4
"cortez",4
"counts",4
"cover",4
"crowbar",4
"daniel",4
"darosa",4
"dealership",4
"dean",4
"deceased",4
"departments",4
"detain",4
"dewayne",4
"different",4
"discovered",4
"dogan",4
"dollar",4
"dragged",4
"dragging",4
"earl",4
"eastbound",4
"eddie",4
"edward",4
"elderly",4
"eleven",4
"emerged",4
"enter",4
"event",4
"faison",4
"fear",4
"field",4
"flenaugh",4
"floyd",4
"food",4
"forward",4
"foy",4
"franklin",4
"frazier",4
"fugitive",4
"gardena",4
"gate",4
"george",4
"georgia",4
"glenn",4
"gomez",4
"gonzalez",4
"grocery",4
"guards",4
"gunman",4
"gym",4
"highspeed",4
"hood",4
"hourslong",4
"hpd",4
"husband",4
"ibrahim",4
"identify",4
"identifying",4
"illness",4
"impala",4
"included",4
"ineffective",4
"initial",4
"initiated",4
"instead",4
"jewelry",4
"jumping",4
"justin",4
"kager",4
"kalonji",4
"kansas",4
"keith",4
"kidnapping",4
"lanes",4
"lasted",4
"learned",4
"legrier",4
"leslie",4
"less",4
