"word","freq"
"police",1053
"shot",738
"officers",693
"killed",589
"man",423
"said",383
"officer",334
"gun",234
"allegedly",221
"vehicle",217
"car",174
"home",168
"knife",166
"deputies",161
"responded",156
"fired",133
"two",132
"arrived",127
"armed",124
"deputy",120
"found",118
"reportedly",118
"one",114
"suspect",111
"call",110
"around",100
"called",95
"tried",94
"stop",93
"killing",90
"woman",85
"according",82
"attempted",80
"shooting",79
"fire",77
"inside",75
"pointed",72
"got",71
"domestic",70
"weapon",70
"chase",68
"began",66
"ran",64
"report",64
"handgun",60
"driver",59
"fled",59
"pulled",59
"authorities",58
"fatally",57
"toward",55
"details",54
"disturbance",54
"yearold",53
"person",52
"responding",52
"house",51
"shots",51
"traffic",51
"apartment",50
"reports",50
"approached",48
"several",48
"holding",47
"reported",47
"another",46
"drop",46
"opened",46
"people",46
"three",46
"refused",45
"came",44
"later",44
"outside",43
"confronted",42
"county",42
"driving",42
"pursuit",42
"saw",42
"family",41
"stolen",41
"withheld",41
"say",40
"threatened",40
"foot",39
"stopped",39
"precipitated",38
"arrest",37
"away",36
"back",36
"received",35
"gunfire",34
"led",34
"scene",34
"went",33
"area",32
"near",32
"violence",32
"warrant",32
"threatening",31
"department",30
"made",30
"robbery",30
"sheriffs",30
"told",30
"crashed",29
"door",29
"involved",29
"parking",29
"station",29
"trying",29
"contact",28
"front",28
"lot",28
"multiple",28
"wanted",28
"fight",27
"gonzalez",27
"investigating",27
"spotted",27
"standoff",27
"street",27
"encountered",26
"just",26
"firing",25
"gas",25
"jose",25
"pursued",25
"rodriguez",25
"suspects",25
"taser",25
"commands",24
"nearby",24
"ordered",24
"passenger",24
"struck",24
"get",23
"hernandez",23
"hit",23
"patrol",23
"subject",23
"suspected",23
"truck",23
"attempting",22
"burglary",22
"complex",22
"continued",22
"men",22
"pull",22
"put",22
"residence",22
"also",21
"attacked",21
"died",21
"ended",21
"incident",21
"juan",21
"second",21
"used",21
"vehicles",21
"firearm",20
"orders",20
"returned",20
"short",20
"someone",20
"state",20
"store",20
"suicidal",20
"assault",19
"cars",19
"charged",19
"confrontation",19
"exchange",19
"following",19
"least",19
"park",19
"point",19
"possibly",19
"ramirez",19
"regarding",19
"started",19
"took",19
"walking",19
"acting",18
"chased",18
"death",18
"drive",18
"drove",18
"lopez",18
"rifle",18
"road",18
"stabbed",18
"suspicious",18
"apparently",17
"dispute",17
"entered",17
"eventually",17
"first",17
"girlfriend",17
"released",17
"weapons",17
"wounded",17
"barricaded",16
"caught",16
"child",16
"comply",16
"dead",16
"gunshot",16
"hand",16
"involving",16
"mother",16
"office",16
"sanchez",16
"shortly",16
"times",16
"believed",15
"exchanged",15
"immediately",15
"possible",15
"running",15
"time",15
"trooper",15
"turned",15
"walked",15
"wife",15
"anthony",14
"dispatched",14
"highway",14
"hospital",14
"kill",14
"machete",14
"make",14
"murder",14
"rounds",14
"search",14
"shoot",14
"son",14
"stabbing",14
"subdue",14
"custody",13
"description",13
"detectives",13
"didnt",13
"dog",13
"erratically",13
"felony",13
"fighting",13
"followed",13
"garcia",13
"investigation",13
"left",13
"martinez",13
"minutes",13
"officials",13
"pointing",13
"shotgun",13
"upon",13
"alleged",12
"arrested",12
"avenue",12
"boy",12
"carjacking",12
"chavez",12
"city",12
"crash",12
"david",12
"east",12
"flores",12
"four",12
"ground",12
"hands",12
"help",12
"hitting",12
"investigate",12
"knives",12
"los",12
"lunged",12
"pickup",12
"rammed",12
"reached",12
"torres",12
"wielding",12
