"word","freq"
"police",2576
"shot",2112
"officers",1655
"killed",1628
"said",1034
"man",1020
"officer",880
"deputies",829
"gun",715
"allegedly",643
"home",598
"deputy",588
"responded",501
"vehicle",501
"arrived",385
"car",385
"fired",382
"call",380
"called",356
"armed",350
"knife",332
"two",332
"reportedly",310
"woman",285
"pointed",283
"found",273
"around",261
"county",258
"stop",251
"one",250
"tried",246
"inside",229
"weapon",229
"domestic",224
"report",221
"according",220
"killing",204
"house",202
"suspect",200
"shooting",191
"attempted",186
"fire",184
"sheriffs",181
"drop",180
"chase",176
"authorities",173
"got",172
"toward",165
"refused",161
"person",160
"fled",159
"began",158
"handgun",157
"driver",156
"fatally",156
"disturbance",152
"pulled",151
"approached",149
"reported",148
"say",148
"warrant",145
"came",144
"trooper",144
"went",142
"several",136
"troopers",136
"told",133
"residence",131
"arrest",129
"outside",128
"back",127
"shots",127
"scene",121
"responding",120
"details",119
"confronted",118
"later",117
"threatening",115
"threatened",113
"received",111
"saw",111
"traffic",111
"ran",109
"suicidal",109
"wanted",109
"yearold",108
"shotgun",106
"truck",104
"gunfire",103
"door",102
"office",101
"stopped",101
"away",100
"state",100
"area",98
"road",98
"parking",95
"rifle",95
"multiple",94
"patrol",94
"three",94
"lot",93
"withheld",93
"people",92
"opened",91
"commands",89
"near",89
"encountered",88
"holding",88
"driving",87
"ordered",87
"firearm",86
"stolen",86
"made",85
"standoff",85
"reports",83
"family",81
"pursuit",81
"precipitated",80
"get",79
"subject",78
"apartment",77
"contact",77
"foot",77
"returned",77
"another",75
"put",75
"street",75
"department",74
"front",74
"wife",73
"started",72
"comply",70
"drove",67
"left",67
"pursued",67
"firing",66
"entered",65
"michael",64
"taser",64
"time",64
"trying",64
"times",63
"crashed",62
"serve",61
"violence",61
"walking",61
"fight",60
"kill",60
"store",60
"dead",59
"suspicious",59
"charged",58
"ended",57
"smith",57
"used",57
"hit",56
"robbery",56
"check",55
"failed",55
"highway",55
"caller",54
"dispute",53
"orders",53
"took",53
"died",52
"turned",52
"warrants",52
"regarding",51
"someone",51
"also",50
"chased",50
"dispatched",50
"second",50
"come",49
"four",49
"just",49
"shoot",49
"spotted",49
"nearby",48
"station",48
"confrontation",47
"continued",47
"felony",47
"first",47
"incident",47
"officials",47
"carrying",46
"following",46
"hand",46
"involved",46
"acting",45
"assault",45
"barricaded",45
"death",45
"vehicles",45
"weapons",45
"window",45
"alleged",44
"led",44
"pull",44
"suspected",44
"upon",44
"city",43
"exchange",43
"hours",43
"passenger",43
"pointing",43
"released",43
"short",43
"son",43
"asked",42
"david",42
"exchanged",42
"immediately",42
"men",42
"search",42
"apparently",41
"appeared",41
"attempting",41
"building",41
"drive",41
"exited",41
"neighbors",41
"pickup",41
"raised",41
"room",41
"arrival",40
"investigating",40
"james",40
"minutes",40
"stabbed",40
"swat",40
"wounded",40
"attacked",39
"didnt",39
"dog",39
"hands",39
"heard",39
"male",39
"shortly",39
"behind",38
"ignored",38
"members",38
"struck",38
"enforcement",37
"eventually",37
"law",37
"pistol",37
"scott",37
"walked",37
"brandished",36
"erratically",36
"least",36
"robert",36
"white",36
"gas",35
"johnson",35
"park",35
"suicide",35
"although",34
"burglary",34
"calls",34
"intoxicated",34
"john",33
"joseph",33
"mother",33
"saying",33
"take",33
"thomas",33
"towards",33
"violation",33
"welfare",33
"caught",32
"child",32
"head",32
"injured",32
"run",32
"side",32
"standing",32
"striking",32
"avenue",31
"custody",31
"followed",31
"hitting",31
"hostage",31
"identified",31
"rounds",31
"running",31
"situation",31
"stabbing",31
"team",31
"walmart",31
"believed",30
"broke",30
"center",30
"driveway",30
"going",30
"help",30
"hospital",30
"marshals",30
"point",30
"william",30
"husband",29
"make",29
"cars",28
"crash",28
"daniel",28
"earlier",28
"end",28
"find",28
"guns",28
"martin",28
"neighbor",28
"parked",28
"way",28
"west",28
"brandishing",27
"drug",27
"father",27
"female",27
"stun",27
"threats",27
"wooded",27
"girlfriend",26
"held",26
"knives",26
"leave",26
"located",26
"mental",26
"property",26
"showed",26
"across",25
"assaulted",25
"became",25
"christopher",25
"complex",25
"force",25
"fought",25
"ground",25
"including",25
"north",25
"reached",25
"serving",25
"sitting",25
"still",25
"waistband",25
"anderson",24
"bank",24
"complaint",24
"jason",24
"making",24
"met",24
"murder",24
"neighborhood",24
"receiving",24
"reporting",24
"theft",24
"east",23
"forced",23
"hour",23
"information",23
"involving",23
"justin",23
"mans",23
"motel",23
"outstanding",23
"possible",23
"prompting",23
"spoke",23
"struggle",23
"sword",23
"taken",23
"twice",23
"victim",23
"witnesses",23
"along",22
"business",22
"contacted",22
"dispatchers",22
"grabbed",22
"gunshots",22
"lake",22
"long",22
"matthew",22
"order",22
"possibly",22
"pursuing",22
"rammed",22
"suspects",22
"suv",22
"talk",22
"advanced",21
"arrested",21
"arriving",21
"austin",21
"backup",21
"backyard",21
"charges",21
"chasing",21
"day",21
"fleeing",21
"garage",21
"happened",21
"hiding",21
"injuries",21
"onto",21
"possession",21
"screaming",21
"seat",21
"stole",21
"unidentified",21
"woods",21
"deputys",20
"encounter",20
"member",20
"moved",20
"phone",20
"produced",20
"show",20
"yard",20
"bedroom",19
"children",19
"davis",19
"direction",19
"drew",19
"employees",19
"gunfight",19
"gunshot",19
"hall",19
"harm",19
"health",19
"high",19
"hotel",19
"investigate",19
"investigation",19
"leading",19
"lee",19
"mobile",19
"searching",19
"south",19
"veteran",19
"able",18
"brandon",18
"coming",18
"drivers",18
"emerged",18
"eric",18
"field",18
"follow",18
"getting",18
"homes",18
"joshua",18
"large",18
"looking",18
"motorcycle",18
"open",18
"porch",18
"restaurant",18
"round",18
"tasered",18
"allen",17
"assist",17
"break",17
"daughter",17
"description",17
"ensued",17
"hill",17
"inn",17
"new",17
"parole",17
"probation",17
"ryan",17
"sent",17
"sheriff",17
"sped",17
"steven",17
"subdue",17
"thought",17
"threat",17
"windows",17
"within",17
"altercation",16
"approximately",16
"block",16
"brian",16
"causing",16
"connection",16
"five",16
"flee",16
"fugitive",16
"gave",16
"henry",16
"instead",16
"interstate",16
"local",16
"occurred",16
"progress",16
"reference",16
"san",16
"set",16
"talking",16
"trailer",16
"waving",16
"whether",16
"wielding",16
"adams",15
"aggravated",15
"air",15
"boyfriend",15
"bullet",15
"case",15
"chest",15
"donald",15
"gunpoint",15
"harris",15
"investigators",15
"little",15
"lunged",15
"mitchell",15
"others",15
"school",15
"shed",15
"shocked",15
"speak",15
"surrender",15
"accelerated",14
"activity",14
